,series_id,FIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,id,Area_Type,area_text,display_level,selectable,sort_sequence,FIPS_code
27,LAUCN010550000000003,CN0105500000000,5.184,6.7,,,0,-24108,6.184,2014M11_3moAve,71,1229,F,"Etowah County, AL",0,T,54,CN0105500000000
28,LAUCN010570000000003,CN0105700000000,5.928,7.6,2014M12,,0,-24108,6.928,2014M11_3moAve,71,1230,F,"Fayette County, AL",0,T,55,CN0105700000000
29,LAUCN010590000000003,CN0105900000000,5.972,7.0,2015M04,,0,-24108,6.972,2014M11_3moAve,71,1231,F,"Franklin County, AL",0,T,56,CN0105900000000
30,LAUCN010610000000003,CN0106100000000,4.408,6.5,,,0,-24108,5.408,,-24108,1232,F,"Geneva County, AL",0,T,57,CN0106100000000
31,LAUCN010630000000003,CN0106300000000,7.392,11.8,,,0,-24108,8.392,,-24108,1233,F,"Greene County, AL",0,T,58,CN0106300000000
32,LAUCN010650000000003,CN0106500000000,6.34,8.9,,,0,-24108,7.34,2015M04_3moAve,76,1234,F,"Hale County, AL",0,T,59,CN0106500000000
33,LAUCN010670000000003,CN0106700000000,6.488,7.3,2014M10,2014M12_3moAve,2014M12_3moAve,72,7.488,2013M05_3moAve,53,1235,F,"Henry County, AL",0,T,60,CN0106700000000
34,LAUCN010690000000003,CN0106900000000,4.088,6.9,,,0,-24108,5.088,,-24108,1236,F,"Houston County, AL",0,T,61,CN0106900000000
35,LAUCN010710000000003,CN0107100000000,5.308,7.4,,,0,-24108,6.308,2014M11_3moAve,71,1237,F,"Jackson County, AL",0,T,62,CN0107100000000
36,LAUCN010730000000003,CN0107300000000,4.588,6.3,,,0,-24108,5.588,2014M12_3moAve,72,1238,F,"Jefferson County, AL",0,T,63,CN0107300000000
37,LAUCN010750000000003,CN0107500000000,7.08,7.1,2012M04,2012M11_3moAve,2012M11_3moAve,47,8.08,2011M12_3moAve,36,1239,F,"Lamar County, AL",0,T,64,CN0107500000000
38,LAUCN010770000000003,CN0107700000000,5.0,7.8,,,0,-24108,6.0,,-24108,1240,F,"Lauderdale County, AL",0,T,65,CN0107700000000
39,LAUCN010790000000003,CN0107900000000,5.24,8.3,,,0,-24108,6.24,,-24108,1241,F,"Lawrence County, AL",0,T,66,CN0107900000000
40,LAUCN010810000000003,CN0108100000000,4.396,5.9,2014M12,,0,-24108,5.396,2014M10_3moAve,70,1242,F,"Lee County, AL",0,T,67,CN0108100000000
41,LAUCN010830000000003,CN0108300000000,4.004,5.9,,,0,-24108,5.004,,-24108,1243,F,"Limestone County, AL",0,T,68,CN0108300000000
42,LAUCN010850000000003,CN0108500000000,9.14,13.2,,,0,-24108,10.14,,-24108,1244,F,"Lowndes County, AL",0,T,69,CN0108500000000
43,LAUCN010870000000003,CN0108700000000,6.38,9.6,,,0,-24108,7.38,2015M04_3moAve,76,1245,F,"Macon County, AL",0,T,70,CN0108700000000
44,LAUCN010890000000003,CN0108900000000,3.592,6.1,,,0,-24108,4.592,,-24108,1246,F,"Madison County, AL",0,T,71,CN0108900000000
45,LAUCN010910000000003,CN0109100000000,6.3,8.4,,,0,-24108,7.3,2014M11_3moAve,71,1247,F,"Marengo County, AL",0,T,72,CN0109100000000
46,LAUCN010930000000003,CN0109300000000,6.552,7.8,2014M12,,0,-24108,7.552,2013M05_3moAve,53,1248,F,"Marion County, AL",0,T,73,CN0109300000000
47,LAUCN010950000000003,CN0109500000000,4.064,6.2,,,0,-24108,5.064,,-24108,1249,F,"Marshall County, AL",0,T,74,CN0109500000000
48,LAUCN010970000000003,CN0109700000000,4.816,7.9,,,0,-24108,5.816,,-24108,1250,F,"Mobile County, AL",0,T,75,CN0109700000000
49,LAUCN010990000000003,CN0109900000000,8.228,11.2,,,0,-24108,9.228,2015M04_3moAve,76,1251,F,"Monroe County, AL",0,T,76,CN0109900000000
50,LAUCN011010000000003,CN0110100000000,4.976,6.8,,,0,-24108,5.976,2014M12_3moAve,72,1252,F,"Montgomery County, AL",0,T,77,CN0110100000000
51,LAUCN011030000000003,CN0110300000000,4.336,6.4,,,0,-24108,5.336,,-24108,1253,F,"Morgan County, AL",0,T,78,CN0110300000000
52,LAUCN011050000000003,CN0110500000000,9.792,11.6,2014M12,2015M02_3moAve,2015M02_3moAve,74,10.792,2014M11_3moAve,71,1254,F,"Perry County, AL",0,T,79,CN0110500000000
53,LAUCN011070000000003,CN0110700000000,6.02,8.4,2015M04,,0,-24108,7.02,2014M11_3moAve,71,1255,F,"Pickens County, AL",0,T,80,CN0110700000000
54,LAUCN011090000000003,CN0110900000000,4.436,7.3,,,0,-24108,5.436,,-24108,1256,F,"Pike County, AL",0,T,81,CN0110900000000
55,LAUCN011110000000003,CN0111100000000,6.16,6.6,2014M10,2014M11_3moAve,2014M11_3moAve,71,7.16,2013M05_3moAve,53,1257,F,"Randolph County, AL",0,T,82,CN0111100000000
56,LAUCN011130000000003,CN0111300000000,6.98,6.6,2013M04,2013M11_3moAve,2013M11_3moAve,59,7.98,2013M04_3moAve,52,1258,F,"Russell County, AL",0,T,83,CN0111300000000
57,LAUCN011150000000003,CN0111500000000,4.168,5.7,,,0,-24108,5.168,2014M11_3moAve,71,1259,F,"St. Clair County, AL",0,T,84,CN0111500000000
58,LAUCN011170000000003,CN0111700000000,3.148,4.6,,,0,-24108,4.148,2014M11_3moAve,71,1260,F,"Shelby County, AL",0,T,85,CN0111700000000
59,LAUCN011190000000003,CN0111900000000,7.596,9.3,2014M11,2014M12_3moAve,2014M12_3moAve,72,8.596,2013M05_3moAve,53,1261,F,"Sumter County, AL",0,T,86,CN0111900000000
60,LAUCN011210000000003,CN0112100000000,6.168,7.3,2014M12,2015M04_3moAve,2015M04_3moAve,76,7.168,2014M10_3moAve,70,1262,F,"Talladega County, AL",0,T,87,CN0112100000000
61,LAUCN011230000000003,CN0112300000000,6.2,6.8,2014M12,2014M12_3moAve,2014M12_3moAve,72,7.2,2014M10_3moAve,70,1263,F,"Tallapoosa County, AL",0,T,88,CN0112300000000
62,LAUCN011250000000003,CN0112500000000,3.968,6.4,,,0,-24108,4.968,2014M12_3moAve,72,1264,F,"Tuscaloosa County, AL",0,T,89,CN0112500000000
63,LAUCN011270000000003,CN0112700000000,4.988,7.4,,,0,-24108,5.988,,-24108,1265,F,"Walker County, AL",0,T,90,CN0112700000000
64,LAUCN011290000000003,CN0112900000000,7.144,10.3,,,0,-24108,8.144,2014M12_3moAve,72,1266,F,"Washington County, AL",0,T,91,CN0112900000000
65,LAUCN011310000000003,CN0113100000000,11.712,16.2,,,0,-24108,12.712,,-24108,1267,F,"Wilcox County, AL",0,T,92,CN0113100000000
66,LAUCN011330000000003,CN0113300000000,7.1,8.2,2015M04,,0,-24108,8.1,2014M11_3moAve,71,1268,F,"Winston County, AL",0,T,93,CN0113300000000
67,LAUCN020130000000003,CN0201300000000,8.984,3.1,2009M01,2009M03_3moAve,2009M03_3moAve,3,9.984,2009M08_3moAve,8,1269,F,"Aleutians East Borough, AK",0,T,145,CN0201300000000
68,LAUCN020160000000003,CN0201600000000,6.144,3.1,2009M01,2009M03_3moAve,2009M03_3moAve,3,7.144,2009M08_3moAve,8,1270,F,"Aleutians West Census Area, AK",0,T,146,CN0201600000000
69,LAUCN020200000000003,CN0202000000000,5.264,4.8,2012M07,2012M09_3moAve,2012M09_3moAve,45,6.264,2010M09_3moAve,21,1271,F,"Anchorage Borough/municipality, AK",0,T,147,CN0202000000000
70,LAUCN020500000000003,CN0205000000000,13.316,15.7,2009M10,2009M01_3moAve,2009M01_3moAve,1,14.316,2009M09_3moAve,9,1272,F,"Bethel Census Area, AK",0,T,148,CN0205000000000
71,LAUCN020600000000003,CN0206000000000,7.316,2.1,2009M05,2009M06_3moAve,2009M06_3moAve,6,8.316,2009M06_3moAve,6,1273,F,"Bristol Bay Borough, AK",0,T,149,CN0206000000000
72,LAUCN020680000000003,CN0206800000000,9.228,3.8,2009M05,2009M06_3moAve,2009M06_3moAve,6,10.228,2009M06_3moAve,6,1274,F,"Denali Borough, AK",0,T,150,CN0206800000000
73,LAUCN020700000000003,CN0207000000000,9.332,7.4,2009M07,2009M08_3moAve,2009M08_3moAve,8,10.332,2009M08_3moAve,8,1275,F,"Dillingham Census Area, AK",0,T,151,CN0207000000000
74,LAUCN020900000000003,CN0209000000000,5.812,4.9,2010M08,2010M09_3moAve,2010M09_3moAve,21,6.812,2009M08_3moAve,8,1276,F,"Fairbanks North Star Borough, AK",0,T,152,CN0209000000000
75,LAUCN021000000000003,CN0210000000000,8.98,5.6,2009M05,2009M07_3moAve,2009M07_3moAve,7,9.98,2009M06_3moAve,6,1277,F,"Haines Borough, AK",0,T,153,CN0210000000000
76,LAUCN021100000000003,CN0211000000000,4.66,4.3,2012M07,2012M09_3moAve,2012M09_3moAve,45,5.66,2009M07_3moAve,7,1279,F,"Juneau Borough/city, AK",0,T,155,CN0211000000000
77,LAUCN021220000000003,CN0212200000000,8.084,6.5,2010M08,2011M08_3moAve,2011M08_3moAve,32,9.084,2009M07_3moAve,7,1280,F,"Kenai Peninsula Borough, AK",0,T,156,CN0212200000000
78,LAUCN021300000000003,CN0213000000000,5.912,5.2,2009M07,2009M07_3moAve,2009M07_3moAve,7,6.912,2009M06_3moAve,6,1281,F,"Ketchikan Gateway Borough, AK",0,T,157,CN0213000000000
79,LAUCN021500000000003,CN0215000000000,6.576,4.4,2009M01,2009M03_3moAve,2009M03_3moAve,3,7.576,2009M05_3moAve,5,1282,F,"Kodiak Island Borough, AK",0,T,158,CN0215000000000
80,LAUCN021640000000003,CN0216400000000,6.404,8.5,2009M07,2009M08_3moAve,2009M08_3moAve,8,7.404,2009M07_3moAve,7,1283,F,"Lake and Peninsula Borough, AK",0,T,159,CN0216400000000
81,LAUCN021700000000003,CN0217000000000,7.376,7.4,2013M08,2013M09_3moAve,2013M09_3moAve,57,8.376,2009M09_3moAve,9,1284,F,"Matanuska-Susitna Borough, AK",0,T,160,CN0217000000000
82,LAUCN021800000000003,CN0218000000000,10.792,12.9,2009M10,2009M01_3moAve,2009M01_3moAve,1,11.792,2009M10_3moAve,10,1285,F,"Nome Census Area, AK",0,T,161,CN0218000000000
83,LAUCN021850000000003,CN0218500000000,4.856,5.8,2009M01,2009M01_3moAve,2009M01_3moAve,1,5.856,2009M05_3moAve,5,1286,F,"North Slope Borough, AK",0,T,162,CN0218500000000
84,LAUCN021880000000003,CN0218800000000,11.204,16.5,2009M01,2009M01_3moAve,2009M01_3moAve,1,12.204,2009M09_3moAve,9,1287,F,"Northwest Arctic Borough, AK",0,T,163,CN0218800000000
85,LAUCN022400000000003,CN0224000000000,8.784,9.9,2009M07,2009M08_3moAve,2009M08_3moAve,8,9.784,2009M06_3moAve,6,1294,F,"Southeast Fairbanks Census Area, AK",0,T,170,CN0224000000000
86,LAUCN022610000000003,CN0226100000000,8.744,6.0,2009M05,2009M06_3moAve,2009M06_3moAve,6,9.744,2009M05_3moAve,5,1295,F,"Valdez-Cordova Census Area, AK",0,T,171,CN0226100000000
87,LAUCN022700000000003,CN0227000000000,20.572,26.9,2009M01,2009M01_3moAve,2009M01_3moAve,1,21.572,2009M09_3moAve,9,1296,F,"Wade Hampton Census Area, AK",0,T,172,CN0227000000000
88,LAUCN022820000000003,CN0228200000000,7.468,7.2,2010M08,2010M09_3moAve,2010M09_3moAve,21,8.468,2009M08_3moAve,8,1299,F,"Yakutat Borough/city, AK",0,T,175,CN0228200000000
89,LAUCN022900000000003,CN0229000000000,13.948,16.5,2009M05,2009M07_3moAve,2009M07_3moAve,7,14.948,2009M06_3moAve,6,1300,F,"Yukon-Koyukuk Census Area, AK",0,T,176,CN0229000000000
90,LAUCN040010000000003,CN0400100000000,10.116,14.8,,,0,-24108,11.116,,-24108,1301,F,"Apache County, AZ",0,T,195,CN0400100000000
91,LAUCN040030000000003,CN0400300000000,4.928,7.9,,,0,-24108,5.928,,-24108,1302,F,"Cochise County, AZ",0,T,196,CN0400300000000
92,LAUCN040050000000003,CN0400500000000,4.62,7.2,,,0,-24108,5.62,,-24108,1303,F,"Coconino County, AZ",0,T,197,CN0400500000000
93,LAUCN040070000000003,CN0400700000000,5.336,8.5,,,0,-24108,6.336,,-24108,1304,F,"Gila County, AZ",0,T,198,CN0400700000000
94,LAUCN040090000000003,CN0400900000000,5.62,8.0,,,0,-24108,6.62,2015M05_3moAve,77,1305,F,"Graham County, AZ",0,T,199,CN0400900000000
95,LAUCN040110000000003,CN0401100000000,4.228,8.1,,,0,-24108,5.228,2013M11_3moAve,59,1306,F,"Greenlee County, AZ",0,T,200,CN0401100000000
96,LAUCN040120000000003,CN0401200000000,6.372,7.8,,,0,-24108,7.372,2015M05_3moAve,77,1307,F,"La Paz County, AZ",0,T,201,CN0401200000000
97,LAUCN040130000000003,CN0401300000000,4.272,5.7,,,0,-24108,5.272,2015M03_3moAve,75,1308,F,"Maricopa County, AZ",0,T,202,CN0401300000000
98,LAUCN040150000000003,CN0401500000000,6.112,8.7,,,0,-24108,7.112,,-24108,1309,F,"Mohave County, AZ",0,T,203,CN0401500000000
99,LAUCN040170000000003,CN0401700000000,8.192,10.5,,,0,-24108,9.192,2015M05_3moAve,77,1310,F,"Navajo County, AZ",0,T,204,CN0401700000000
100,LAUCN040190000000003,CN0401900000000,4.704,6.2,,,0,-24108,5.704,2015M03_3moAve,75,1311,F,"Pima County, AZ",0,T,205,CN0401900000000
101,LAUCN040210000000003,CN0402100000000,5.916,6.9,2015M03,2015M05_3moAve,2015M05_3moAve,77,6.916,2014M11_3moAve,71,1312,F,"Pinal County, AZ",0,T,206,CN0402100000000
102,LAUCN040230000000003,CN0402300000000,9.116,14.2,2015M05,,0,-24108,10.116,2015M04_3moAve,76,1313,F,"Santa Cruz County, AZ",0,T,207,CN0402300000000
103,LAUCN040250000000003,CN0402500000000,4.88,6.0,2015M05,,0,-24108,5.88,2014M12_3moAve,72,1314,F,"Yavapai County, AZ",0,T,208,CN0402500000000
104,LAUCN040270000000003,CN0402700000000,16.02,26.6,2009M02,,0,-24108,17.02,,-24108,1315,F,"Yuma County, AZ",0,T,209,CN0402700000000
105,LAUCN050010000000003,CN0500100000000,9.232,4.9,2012M03,2012M04_3moAve,2012M04_3moAve,40,10.232,2012M03_3moAve,39,1316,F,"Arkansas County, AR",0,T,270,CN0500100000000
106,LAUCN050030000000003,CN0500300000000,7.88,9.0,2014M10,,0,-24108,8.88,2014M10_3moAve,70,1317,F,"Ashley County, AR",0,T,271,CN0500300000000
107,LAUCN050050000000003,CN0500500000000,5.716,6.3,,,0,-24108,6.716,2014M06_3moAve,66,1318,F,"Baxter County, AR",0,T,272,CN0500500000000
108,LAUCN050070000000003,CN0500700000000,3.94,4.4,,,0,-24108,4.94,2014M04_3moAve,64,1319,F,"Benton County, AR",0,T,273,CN0500700000000
109,LAUCN050090000000003,CN0500900000000,5.268,5.8,,,0,-24108,6.268,2014M05_3moAve,65,1320,F,"Boone County, AR",0,T,274,CN0500900000000
110,LAUCN050110000000003,CN0501100000000,6.644,7.1,2015M05,2015M06_3moAve,2015M06_3moAve,78,7.644,2014M11_3moAve,71,1321,F,"Bradley County, AR",0,T,275,CN0501100000000
111,LAUCN050130000000003,CN0501300000000,6.46,6.7,2009M09,2014M10_3moAve,2014M10_3moAve,70,7.46,2009M09_3moAve,9,1322,F,"Calhoun County, AR",0,T,276,CN0501300000000
112,LAUCN050150000000003,CN0501500000000,4.432,4.5,2014M08,2014M10_3moAve,2014M10_3moAve,70,5.432,2009M09_3moAve,9,1323,F,"Carroll County, AR",0,T,277,CN0501500000000
113,LAUCN050170000000003,CN0501700000000,8.28,10.1,,,0,-24108,9.28,,-24108,1324,F,"Chicot County, AR",0,T,278,CN0501700000000
114,LAUCN050190000000003,CN0501900000000,5.768,6.6,2014M10,2014M12_3moAve,2014M12_3moAve,72,6.768,2014M10_3moAve,70,1325,F,"Clark County, AR",0,T,279,CN0501900000000
115,LAUCN050210000000003,CN0502100000000,8.688,7.7,2013M10,2014M05_3moAve,2014M05_3moAve,65,9.688,2013M09_3moAve,57,1326,F,"Clay County, AR",0,T,280,CN0502100000000
116,LAUCN050230000000003,CN0502300000000,5.88,7.8,,,0,-24108,6.88,2009M10_3moAve,10,1327,F,"Cleburne County, AR",0,T,281,CN0502300000000
117,LAUCN050250000000003,CN0502500000000,5.788,6.5,,,0,-24108,6.788,2014M10_3moAve,70,1328,F,"Cleveland County, AR",0,T,282,CN0502500000000
118,LAUCN050270000000003,CN0502700000000,6.74,7.7,2014M04,2014M11_3moAve,2014M11_3moAve,71,7.74,2014M04_3moAve,64,1329,F,"Columbia County, AR",0,T,283,CN0502700000000
119,LAUCN050290000000003,CN0502900000000,5.184,6.9,,,0,-24108,6.184,2014M11_3moAve,71,1330,F,"Conway County, AR",0,T,284,CN0502900000000
120,LAUCN050310000000003,CN0503100000000,4.944,5.0,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.944,2014M04_3moAve,64,1331,F,"Craighead County, AR",0,T,285,CN0503100000000
121,LAUCN050330000000003,CN0503300000000,4.876,5.9,,,0,-24108,5.876,2014M10_3moAve,70,1332,F,"Crawford County, AR",0,T,286,CN0503300000000
122,LAUCN050350000000003,CN0503500000000,7.188,7.0,2014M04,2014M06_3moAve,2014M06_3moAve,66,8.188,2013M10_3moAve,58,1333,F,"Crittenden County, AR",0,T,287,CN0503500000000
123,LAUCN050370000000003,CN0503700000000,7.124,6.3,2013M10,2013M11_3moAve,2013M11_3moAve,59,8.124,2009M06_3moAve,6,1334,F,"Cross County, AR",0,T,288,CN0503700000000
124,LAUCN050390000000003,CN0503900000000,7.132,8.2,,,0,-24108,8.132,2015M06_3moAve,78,1335,F,"Dallas County, AR",0,T,289,CN0503900000000
125,LAUCN050410000000003,CN0504100000000,9.372,8.7,2010M10,2012M10_3moAve,2012M10_3moAve,46,10.372,2010M10_3moAve,22,1336,F,"Desha County, AR",0,T,290,CN0504100000000
126,LAUCN050430000000003,CN0504300000000,7.656,8.0,2014M10,2014M11_3moAve,2014M11_3moAve,71,8.656,2014M05_3moAve,65,1337,F,"Drew County, AR",0,T,291,CN0504300000000
127,LAUCN050450000000003,CN0504500000000,4.56,5.3,,,0,-24108,5.56,2014M09_3moAve,69,1338,F,"Faulkner County, AR",0,T,292,CN0504500000000
128,LAUCN050470000000003,CN0504700000000,4.46,6.0,,,0,-24108,5.46,2014M10_3moAve,70,1339,F,"Franklin County, AR",0,T,293,CN0504700000000
129,LAUCN050490000000003,CN0504900000000,5.108,6.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,6.108,2014M05_3moAve,65,1340,F,"Fulton County, AR",0,T,294,CN0504900000000
130,LAUCN050510000000003,CN0505100000000,5.564,6.0,,,0,-24108,6.564,2014M05_3moAve,65,1341,F,"Garland County, AR",0,T,295,CN0505100000000
131,LAUCN050530000000003,CN0505300000000,5.084,5.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,6.084,2014M04_3moAve,64,1342,F,"Grant County, AR",0,T,296,CN0505300000000
132,LAUCN050550000000003,CN0505500000000,6.536,6.2,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.536,2013M11_3moAve,59,1343,F,"Greene County, AR",0,T,297,CN0505500000000
133,LAUCN050570000000003,CN0505700000000,5.852,6.0,2014M04,2014M06_3moAve,2014M06_3moAve,66,6.852,2012M06_3moAve,42,1344,F,"Hempstead County, AR",0,T,298,CN0505700000000
134,LAUCN050590000000003,CN0505900000000,5.936,6.0,2014M04,2014M05_3moAve,2014M05_3moAve,65,6.936,2012M05_3moAve,41,1345,F,"Hot Spring County, AR",0,T,299,CN0505900000000
135,LAUCN050610000000003,CN0506100000000,5.492,5.6,2013M11,2014M05_3moAve,2014M05_3moAve,65,6.492,2012M06_3moAve,42,1346,F,"Howard County, AR",0,T,300,CN0506100000000
136,LAUCN050630000000003,CN0506300000000,6.568,7.5,2015M04,,0,-24108,7.568,2014M10_3moAve,70,1347,F,"Independence County, AR",0,T,301,CN0506300000000
137,LAUCN050650000000003,CN0506500000000,6.288,7.7,2014M10,,0,-24108,7.288,2014M05_3moAve,65,1348,F,"Izard County, AR",0,T,302,CN0506500000000
138,LAUCN050670000000003,CN0506700000000,7.648,8.7,,,0,-24108,8.648,2014M10_3moAve,70,1349,F,"Jackson County, AR",0,T,303,CN0506700000000
139,LAUCN050690000000003,CN0506900000000,7.56,8.7,2014M10,2014M12_3moAve,2014M12_3moAve,72,8.56,2014M10_3moAve,70,1350,F,"Jefferson County, AR",0,T,304,CN0506900000000
140,LAUCN050710000000003,CN0507100000000,4.776,7.5,,,0,-24108,5.776,2014M12_3moAve,72,1351,F,"Johnson County, AR",0,T,305,CN0507100000000
141,LAUCN050730000000003,CN0507300000000,7.288,9.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,8.288,2014M05_3moAve,65,1352,F,"Lafayette County, AR",0,T,306,CN0507300000000
142,LAUCN050750000000003,CN0507500000000,6.98,7.3,2014M04,2014M10_3moAve,2014M10_3moAve,70,7.98,2013M11_3moAve,59,1353,F,"Lawrence County, AR",0,T,307,CN0507500000000
143,LAUCN050770000000003,CN0507700000000,8.976,8.1,2009M04,2009M05_3moAve,2009M05_3moAve,5,9.976,2009M05_3moAve,5,1354,F,"Lee County, AR",0,T,308,CN0507700000000
144,LAUCN050790000000003,CN0507900000000,7.948,7.3,2014M03,2014M04_3moAve,2014M04_3moAve,64,8.948,2010M06_3moAve,18,1355,F,"Lincoln County, AR",0,T,309,CN0507900000000
145,LAUCN050810000000003,CN0508100000000,4.052,6.3,,,0,-24108,5.052,,-24108,1356,F,"Little River County, AR",0,T,310,CN0508100000000
146,LAUCN050830000000003,CN0508300000000,5.74,7.1,2014M04,2014M10_3moAve,2014M10_3moAve,70,6.74,2014M04_3moAve,64,1357,F,"Logan County, AR",0,T,311,CN0508300000000
147,LAUCN050850000000003,CN0508500000000,4.424,4.7,,,0,-24108,5.424,2014M05_3moAve,65,1358,F,"Lonoke County, AR",0,T,312,CN0508500000000
148,LAUCN050870000000003,CN0508700000000,4.236,4.4,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.236,2012M12_3moAve,48,1359,F,"Madison County, AR",0,T,313,CN0508700000000
149,LAUCN050890000000003,CN0508900000000,5.824,5.9,2014M09,2014M11_3moAve,2014M11_3moAve,71,6.824,2014M05_3moAve,65,1360,F,"Marion County, AR",0,T,314,CN0508900000000
150,LAUCN050910000000003,CN0509100000000,4.264,5.8,,,0,-24108,5.264,,-24108,1361,F,"Miller County, AR",0,T,315,CN0509100000000
151,LAUCN050930000000003,CN0509300000000,7.48,10.8,2014M10,,0,-24108,8.48,2014M10_3moAve,70,1362,F,"Mississippi County, AR",0,T,316,CN0509300000000
