series_id,FIPS_Code,fips_code3,bFIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DateReturned3moMovingAve_VALUES,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,County_Name,_Name,LAT,LON,State,SpotCheck,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2011,Median_Household_Income_2013,Median_Household_Income_Percent_of_State_Total_2013,Pct_less_than_hs_2009_2013,Pct_HS_Grad_only_2009_2013,Pct_SomeCollege_2009_2013,Pct_college_grad_2009_2013,Net_Mig_2010_2014,MigRate_2010_2014,Total_Business_Establishments_2011,Business_Estab_under_20_emp,Business_Estab_20to99_emp,Business_Estab_100to499_emp,Business_Estab_over500_emp,Stimulus,StimulusPerCapita
LAUCN010450000000003,01045,1045,b01045,4.66,7,#N/A,#N/A,#N/A,#N/A,5.66,#N/A,#N/A,"Dale County, AL","Dale, AL",31.430654,-85.609476,AL,#REF!,4,5,22015,41805,97.4884567,15.86017448,30.75738823,36.41138648,16.9710508,"-1,607.00",-3.20,815.00,525.00,73.00,60.00,157.00,51124202,1015
LAUCN010610000000003,01061,1061,b01061,4.408,6.5,#N/A,#N/A,#N/A,#N/A,5.408,#N/A,#N/A,"Geneva County, AL","Geneva, AL",31.092393,-85.821011,AL,#REF!,3,2,11472,35378,82.50081619,22.82336653,38.19692209,28.61174716,10.36796422,104.00,0.39,417.00,343.00,24.00,12.00,38.00,16886556,630
LAUCN010630000000003,01063,1063,b01063,7.392,11.8,#N/A,#N/A,#N/A,#N/A,8.392,#N/A,#N/A,"Greene County, AL","Greene, AL",32.844497,-87.9642,AL,#REF!,8,6,3229,25864,60.31435101,23.80714879,39.35162095,24.03990025,12.80133001,-483.00,-5.34,97.00,61.00,13.00,9.00,14.00,10009704,1114
LAUCN010690000000003,01069,1069,b01069,4.088,6.9,#N/A,#N/A,#N/A,#N/A,5.088,#N/A,#N/A,"Houston County, AL","Houston, AL",31.158193,-85.296398,AL,#REF!,3,2,46761,39636,92.43039037,16.11229474,33.97539023,30.26073597,19.65157905,"1,492.00",1.47,"2,746.00","1,740.00",314.00,162.00,530.00,67960416,667
LAUCN010770000000003,01077,1077,b01077,5,7.8,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,"Lauderdale County, AL","Lauderdale, AL",34.904122,-87.650997,AL,#REF!,3,2,44001,43586,101.6417145,16.19712696,34.29473382,28.38602701,21.12211221,"1,059.00",1.14,"1,968.00","1,366.00",183.00,94.00,325.00,70900620,765
LAUCN010790000000003,01079,1079,b01079,5.24,8.3,#N/A,#N/A,#N/A,#N/A,6.24,#N/A,#N/A,"Lawrence County, AL","Lawrence, AL",34.529776,-87.321865,AL,#REF!,3,2,14787,40713,94.94193368,22.85935019,38.89866518,26.29726598,11.94471866,-744.00,-2.17,407.00,296.00,30.00,25.00,56.00,13953094,406
LAUCN010830000000003,01083,1083,b01083,4.004,5.9,#N/A,#N/A,#N/A,#N/A,5.004,#N/A,#N/A,"Limestone County, AL","Limestone, AL",34.810239,-86.981399,AL,#REF!,2,2,38954,50148,116.9441724,18.47915665,30.87528329,27.95137697,22.69418309,"6,491.00",7.84,"1,228.00",878.00,112.00,47.00,191.00,57998760,697
LAUCN010850000000003,01085,1085,b01085,9.14,13.2,#N/A,#N/A,#N/A,#N/A,10.14,#N/A,#N/A,"Lowndes County, AL","Lowndes, AL",32.147888,-86.650586,AL,#REF!,2,2,4243,29734,69.33911665,26.12527115,36.78145336,22.69522777,14.39804772,-828.00,-7.33,114.00,78.00,11.00,6.00,19.00,57256541,5085
LAUCN010890000000003,01089,1089,b01089,3.592,6.1,#N/A,#N/A,#N/A,#N/A,4.592,#N/A,#N/A,"Madison County, AL","Madison, AL",34.764238,-86.55108,AL,#REF!,2,2,171630,58258,135.8565365,9.952768326,21.39648022,30.18263505,38.4681164,"9,254.00",2.76,"7,997.00","4,997.00",822.00,420.00,"1,758.00",296027250,881
LAUCN010950000000003,01095,1095,b01095,4.064,6.2,#N/A,#N/A,#N/A,#N/A,5.064,#N/A,#N/A,"Marshall County, AL","Marshall, AL",34.309564,-86.321668,AL,#REF!,4,5,41043,38399,89.54573014,23.82584903,32.56558828,28.42427169,15.184291,750.00,0.81,"1,834.00","1,233.00",181.00,86.00,334.00,65298048,700
LAUCN010970000000003,01097,1097,b01097,4.816,7.9,#N/A,#N/A,#N/A,#N/A,5.816,#N/A,#N/A,"Mobile County, AL","Mobile, AL",30.684572,-88.196568,AL,#REF!,2,2,193773,42278,98.59148361,16.06310532,32.97467932,30.26032057,20.70189479,"-3,698.00",-0.90,"8,659.00","5,266.00",894.00,502.00,"1,997.00",402076975,973
LAUCN011030000000003,01103,1103,b01103,4.336,6.4,#N/A,#N/A,#N/A,#N/A,5.336,#N/A,#N/A,"Morgan County, AL","Morgan, AL",34.454484,-86.846402,AL,#REF!,3,2,58262,44079,102.791381,18.56564488,31.55310535,29.97305047,19.9081993,-609.00,-0.51,"2,654.00","1,677.00",293.00,131.00,553.00,75520744,631
LAUCN011090000000003,01109,1109,b01109,4.436,7.3,#N/A,#N/A,#N/A,#N/A,5.436,#N/A,#N/A,"Pike County, AL","Pike, AL",31.798651,-85.941604,AL,#REF!,6,5,15431,35944,83.82071732,18.97071043,35.37079352,22.68903199,22.96946406,258.00,0.78,643.00,431.00,61.00,48.00,103.00,82970059,2518
LAUCN011270000000003,01127,1127,b01127,4.988,7.4,#N/A,#N/A,#N/A,#N/A,5.988,#N/A,#N/A,"Walker County, AL","Walker, AL",33.791558,-87.301094,AL,#REF!,1,1,27085,37193,86.73336132,23.6097265,35.31489749,30.59251875,10.48285727,-798.00,-1.19,"1,279.00",873.00,111.00,55.00,240.00,37732755,564
LAUCN011310000000003,01131,1131,b01131,11.712,16.2,#N/A,#N/A,#N/A,#N/A,12.712,#N/A,#N/A,"Wilcox County, AL","Wilcox, AL",31.990085,-87.304907,AL,#REF!,9,10,2983,23184,54.06464251,23.89651954,42.31230831,22.66968929,11.12148286,-549.00,-4.71,201.00,149.00,21.00,11.00,20.00,14607813,1258
LAUCN040010000000003,04001,4001,b04001,10.116,14.8,#N/A,#N/A,#N/A,#N/A,11.116,#N/A,#N/A,"Apache County, AZ","Apache, AZ",35.385084,-109.490172,AZ,#REF!,6,6,23065,30252,62.37011381,25.54959975,32.05742757,32.0290916,10.36388108,"-1,608.00",-2.25,467.00,291.00,62.00,42.00,72.00,321552507,4486
LAUCN040030000000003,04003,4003,b04003,4.928,7.9,#N/A,#N/A,#N/A,#N/A,5.928,#N/A,#N/A,"Cochise County, AZ","Cochise, AZ",31.840129,-109.775163,AZ,#REF!,3,2,55902,45294,93.38198911,14.16984036,24.13467696,39.22236078,22.4731219,"-5,955.00",-4.53,"2,315.00","1,515.00",166.00,165.00,469.00,143085476,1086
LAUCN040050000000003,04005,4005,b04005,4.62,7.2,#N/A,#N/A,#N/A,#N/A,5.62,#N/A,#N/A,"Coconino County, AZ","Coconino, AZ",35.829692,-111.773728,AZ,#REF!,3,2,71731,48732,100.4700643,12.44603492,22.38325077,34.03970811,31.1310062,"-1,134.00",-0.84,"3,529.00","2,492.00",366.00,134.00,537.00,243791739,1811
LAUCN040070000000003,04007,4007,b04007,5.336,8.5,#N/A,#N/A,#N/A,#N/A,6.336,#N/A,#N/A,"Gila County, AZ","Gila, AZ",33.789618,-110.81187,AZ,#REF!,4,3,21178,39868,82.19528286,15.74271315,30.98924508,37.16423339,16.10380839,-120.00,-0.22,"1,017.00",753.00,53.00,62.00,149.00,74628947,1393
LAUCN040150000000003,04015,4015,b04015,6.112,8.7,#N/A,#N/A,#N/A,#N/A,7.112,#N/A,#N/A,"Mohave County, AZ","Mohave, AZ",35.717705,-113.749689,AZ,#REF!,3,2,79608,38560,79.49859805,16.15640361,34.71828448,37.19379118,11.93152073,"5,464.00",2.73,"3,600.00","2,604.00",245.00,167.00,584.00,123482668,617
LAUCN040270000000003,04027,4027,b04027,16.02,26.6,#N/A,#N/A,#N/A,#N/A,17.02,#N/A,#N/A,"Yuma County, AZ","Yuma, AZ",32.773942,-113.910905,AZ,#REF!,3,2,92051,40498,83.49414481,28.07107143,25.32228437,32.35611496,14.25052925,-840.00,-0.43,"2,897.00","1,912.00",295.00,142.00,548.00,203669491,1036
LAUCN050170000000003,05017,5017,b05017,8.28,10.1,#N/A,#N/A,#N/A,#N/A,9.28,#N/A,#N/A,"Chicot County, AR","Chicot, AR",33.267139,-91.297158,AR,#REF!,7,9,4280,28006,68.9718015,25.78213343,42.35456716,19.28634251,12.5769569,-611.00,-5.18,227.00,151.00,27.00,14.00,35.00,26918658,2285
LAUCN050810000000003,05081,5081,b05081,4.052,6.3,#N/A,#N/A,#N/A,#N/A,5.052,#N/A,#N/A,"Little River County, AR","Little River, AR",33.699497,-94.229774,AR,#REF!,3,2,6140,36310,89.42248492,16.60673423,38.96698267,33.86727689,10.55900621,-567.00,-4.31,166.00,115.00,14.00,9.00,28.00,6157204,468
LAUCN050910000000003,05091,5091,b05091,4.264,5.8,#N/A,#N/A,#N/A,#N/A,5.264,#N/A,#N/A,"Miller County, AR","Miller, AR",33.305505,-93.901502,AR,#REF!,3,2,20800,40005,98.52234946,14.89985176,40.17650912,31.01320371,13.91043541,-635.00,-1.46,713.00,469.00,90.00,45.00,109.00,42250166,971
LAUCN051050000000003,05105,5105,b05105,5.2,6.7,#N/A,#N/A,#N/A,#N/A,6.2,#N/A,#N/A,"Perry County, AR","Perry, AR",34.946363,-92.926877,AR,#REF!,2,2,4517,42328,104.2433198,15.39636263,44.78689435,27.90503957,11.91170346,-150.00,-1.44,109.00,83.00,10.00,8.00,8.00,3598664,345
LAUCN051330000000003,05133,5133,b05133,4.1,6.6,#N/A,#N/A,#N/A,#N/A,5.1,#N/A,#N/A,"Sevier County, AR","Sevier, AR",33.994877,-94.243279,AR,#REF!,6,6,6400,33698,82.98977958,33.68932965,32.64041194,25.05006198,8.620196434,-113.00,-0.66,264.00,189.00,28.00,12.00,35.00,12768203,745
LAUCN061070000000003,06107,6107,b06107,10.012,11.7,#N/A,#N/A,#N/A,#N/A,11.012,#N/A,#N/A,"Tulare County, CA","Tulare, CA",36.228824,-118.781061,CA,#REF!,2,2,203695,39657,65.89183351,31.99034622,24.00435521,30.69754096,13.30775762,"-5,743.00",-1.30,"6,109.00","4,283.00",542.00,338.00,946.00,350154916,789
LAUCN080290000000003,08029,8029,b08029,3.812,5.7,#N/A,#N/A,#N/A,#N/A,4.812,#N/A,#N/A,"Delta County, CO","Delta, CO",38.861756,-107.864757,CO,#REF!,6,6,14384,41730,70.798412,12.22851961,36.55406937,32.89050102,18.32691,-987.00,-3.19,853.00,692.00,59.00,28.00,74.00,30893184,1000
LAUCN080430000000003,08043,8043,b08043,5.504,6.5,#N/A,#N/A,#N/A,#N/A,6.504,#N/A,#N/A,"Fremont County, CO","Fremont, CO",38.45517,-105.424958,CO,#REF!,4,5,15887,41412,70.25889858,15.90668671,36.58760648,31.87183342,15.63387339,302.00,0.64,832.00,652.00,69.00,25.00,86.00,23899655,510
LAUCN080450000000003,08045,8045,b08045,2.768,3.9,#N/A,#N/A,#N/A,#N/A,3.768,#N/A,#N/A,"Garfield County, CO","Garfield, CO",39.599352,-107.90978,CO,#REF!,5,8,31341,57364,97.3227919,14.77789816,25.54983749,33.10671723,26.56554713,"-1,237.00",-2.19,"2,428.00","1,956.00",152.00,98.00,222.00,34266716,610
LAUCN080550000000003,08055,8055,b08055,5.552,8.2,#N/A,#N/A,#N/A,#N/A,6.552,#N/A,#N/A,"Huerfano County, CO","Huerfano, CO",37.687815,-104.959928,CO,#REF!,6,6,2655,32418,54.99983034,15.31461762,26.5053243,30.22265247,27.95740561,-64.00,-0.95,163.00,125.00,13.00,9.00,16.00,3154132,473
LAUCN080710000000003,08071,8071,b08071,4.044,6.5,#N/A,#N/A,#N/A,#N/A,5.044,#N/A,#N/A,"Las Animas County, CO","Las Animas, CO",37.318831,-104.04411,CO,#REF!,7,11,6969,38547,65.39818805,15.70224719,30.33707865,37.70599251,16.25468165,"-1,386.00",-8.94,387.00,289.00,36.00,20.00,42.00,12617431,818
LAUCN080770000000003,08077,8077,b08077,3.512,5.9,#N/A,#N/A,#N/A,#N/A,4.512,#N/A,#N/A,"Mesa County, CO","Mesa, CO",39.019492,-108.461837,CO,#REF!,3,2,75397,48108,81.61921889,10.36375836,30.02683963,33.8657205,25.7436815,-710.00,-0.48,"4,529.00","3,344.00",406.00,190.00,589.00,154245608,1054
LAUCN081030000000003,08103,8103,b08103,2.344,5.2,#N/A,#N/A,#N/A,#N/A,3.344,#N/A,#N/A,"Rio Blanco County, CO","Rio Blanco, CO",39.972622,-108.200716,CO,#REF!,9,10,3114,59364,100.7159581,8.701472557,34.11423472,34.11423472,23.07005801,-128.00,-1.92,236.00,184.00,15.00,10.00,27.00,15169524,2291
LAUCN120130000000003,12013,12013,b12013,4.564,6.5,#N/A,#N/A,#N/A,#N/A,5.564,#N/A,#N/A,"Calhoun County, FL","Calhoun, FL",30.388801,-85.197915,FL,#REF!,6,6,5296,33977,73.82933878,26.53631285,39.34694664,26.33403968,7.782700828,-139.00,-0.95,196.00,148.00,17.00,8.00,23.00,9122384,625
LAUCN120390000000003,12039,12039,b12039,5.296,7.2,#N/A,#N/A,#N/A,#N/A,6.296,#N/A,#N/A,"Gadsden County, FL","Gadsden, FL",30.578687,-84.612607,FL,#REF!,2,2,19601,34348,74.63549249,22.79894875,35.40454289,26.85689256,14.93961579,"-1,961.00",-4.11,638.00,465.00,40.00,32.00,101.00,46511257,1001
LAUCN120590000000003,12059,12059,b12059,4.352,6.8,#N/A,#N/A,#N/A,#N/A,5.352,#N/A,#N/A,"Holmes County, FL","Holmes, FL",30.866222,-85.812959,FL,#REF!,6,6,7218,33220,72.18443754,24.54175879,36.23136723,27.2305827,11.99629128,-12.00,-0.06,276.00,232.00,13.00,13.00,18.00,25906634,1305
LAUCN120630000000003,12063,12063,b12063,4.636,6.1,#N/A,#N/A,#N/A,#N/A,5.636,#N/A,#N/A,"Jackson County, FL","Jackson, FL",30.78925,-85.208813,FL,#REF!,6,6,18858,36332,78.94656787,22.03188266,34.63770988,29.09646912,14.23393833,-538.00,-1.08,780.00,519.00,63.00,43.00,155.00,79326207,1596
LAUCN120650000000003,12065,12065,b12065,4.232,6.2,#N/A,#N/A,#N/A,#N/A,5.232,#N/A,#N/A,"Jefferson County, FL","Jefferson, FL",30.424558,-83.890859,FL,#REF!,2,2,5911,39494,85.81734426,18.77838539,33.88636574,30.42914079,16.90610807,-661.00,-4.48,247.00,190.00,16.00,16.00,25.00,11245230,762
LAUCN120730000000003,12073,12073,b12073,3.86,5.3,#N/A,#N/A,#N/A,#N/A,4.86,#N/A,#N/A,"Leon County, FL","Leon, FL",30.45931,-84.2778,FL,#REF!,2,2,149922,46975,102.0729667,8.213246609,19.5920478,27.964164,44.23054159,"2,864.00",1.04,"7,253.00","4,825.00",694.00,351.00,"1,383.00",10688915143,38720
LAUCN120770000000003,12077,12077,b12077,3.548,5.9,#N/A,#N/A,#N/A,#N/A,4.548,#N/A,#N/A,"Liberty County, FL","Liberty, FL",30.259849,-84.86858,FL,#REF!,8,7,2873,36561,79.44416679,24.41101848,41.31931859,21.42080464,12.84885828,-94.00,-1.12,81.00,53.00,11.00,6.00,11.00,6871507,822
LAUCN120860000000003,12086,12086,b12086,3.916,6.1,#N/A,#N/A,#N/A,#N/A,4.916,#N/A,#N/A,"Miami-Dade County, FL","Miami-Dade, FL",25.610494,-80.499045,FL,#REF!,1,1,1255524,41840,90.91501706,21.18065702,28.34256004,24.19408045,26.28270249,"112,470.00",4.50,"74,585.00","60,781.00","4,076.00","1,974.00","7,754.00",2153905118,860
LAUCN121070000000003,12107,12107,b12107,6.132,8,#N/A,#N/A,#N/A,#N/A,7.132,#N/A,#N/A,"Putnam County, FL","Putnam, FL",29.606006,-81.740894,FL,#REF!,4,3,30148,32852,71.38480259,22.50643877,40.17209085,25.95020682,11.37126356,"-1,649.00",-2.22,"1,273.00",958.00,66.00,54.00,195.00,52985747,713
LAUCN121190000000003,12119,12119,b12119,4.612,7.4,#N/A,#N/A,#N/A,#N/A,5.612,#N/A,#N/A,"Sumter County, FL","Sumter, FL",28.714294,-82.074715,FL,#REF!,3,2,26010,52670,114.4477521,12.21843715,32.06456248,30.48178532,25.23521505,"23,294.00",24.93,"1,131.00",795.00,93.00,42.00,201.00,43283335,460
LAUCN121230000000003,12123,12123,b12123,5.48,7,#N/A,#N/A,#N/A,#N/A,6.48,#N/A,#N/A,"Taylor County, FL","Taylor, FL",30.009908,-83.609483,FL,#REF!,6,6,9523,38370,83.37498099,23.53084911,37.06169823,27.78863775,11.61881491,-54.00,-0.24,402.00,281.00,41.00,24.00,56.00,11054065,490
LAUCN121250000000003,12125,12125,b12125,4.02,5.5,#N/A,#N/A,#N/A,#N/A,5.02,#N/A,#N/A,"Union County, FL","Union, FL",30.05428,-82.366918,FL,#REF!,6,4,5320,40841,88.74426892,26.11636094,36.97424495,26.90383546,10.00555864,-322.00,-2.07,134.00,96.00,9.00,12.00,17.00,4873073,314
LAUCN130010000000003,13001,13001,b13001,6.092,8.3,#N/A,#N/A,#N/A,#N/A,7.092,#N/A,#N/A,"Appling County, GA","Appling, GA",31.739712,-82.290103,GA,#REF!,7,9,8869,36915,77.28462263,23.18757662,42.86881896,21.1687781,12.77482632,-78.00,-0.43,382.00,275.00,39.00,14.00,54.00,39506374,2163
LAUCN130070000000003,13007,13007,b13007,5.652,8.6,#N/A,#N/A,#N/A,#N/A,6.652,#N/A,#N/A,"Baker County, GA","Baker, GA",31.31958,-84.454881,GA,#REF!,3,2,1171,37135,77.74521093,20.51875868,44.83557202,23.71468272,10.93098657,-240.00,-6.95,25.00,17.00,1.00,3.00,4.00,1896918,555
LAUCN130110000000003,13011,13011,b13011,3.736,6.2,#N/A,#N/A,#N/A,#N/A,4.736,#N/A,#N/A,"Banks County, GA","Banks, GA",34.351922,-83.498441,GA,#REF!,8,6,8495,42495,88.96681671,24.48779691,41.98024651,21.94106604,11.59089054,-323.00,-1.76,278.00,190.00,14.00,14.00,60.00,14087064,765
LAUCN130190000000003,13019,13019,b13019,5.624,7.6,#N/A,#N/A,#N/A,#N/A,6.624,#N/A,#N/A,"Berrien County, GA","Berrien, GA",31.288652,-83.22787,GA,#REF!,6,6,7870,37903,79.3530828,23.17777431,32.24598096,31.77774309,12.79850164,-758.00,-3.93,278.00,208.00,23.00,13.00,34.00,6751780,350
LAUCN130230000000003,13023,13023,b13023,6.184,9.9,#N/A,#N/A,#N/A,#N/A,7.184,#N/A,#N/A,"Bleckley County, GA","Bleckley, GA",32.435403,-83.331717,GA,#REF!,6,6,5493,40369,84.51585889,20.45512332,39.86778541,24.81566234,14.86142893,-296.00,-2.27,164.00,117.00,15.00,7.00,25.00,36465308,2784
LAUCN130250000000003,13025,13025,b13025,5.408,8.1,#N/A,#N/A,#N/A,#N/A,6.408,#N/A,#N/A,"Brantley County, GA","Brantley, GA",31.197334,-81.982978,GA,#REF!,3,2,7461,36758,76.95593007,23.17275748,45.67275748,24.73421927,6.420265781,-90.00,-0.49,180.00,140.00,21.00,7.00,12.00,10142873,550
LAUCN130270000000003,13027,13027,b13027,4.964,7,#N/A,#N/A,#N/A,#N/A,5.964,#N/A,#N/A,"Brooks County, GA","Brooks, GA",30.822934,-83.581905,GA,#REF!,3,2,7065,34367,71.95017272,22.59108563,36.80414278,29.21213242,11.39263917,"-1,020.00",-6.25,203.00,149.00,16.00,6.00,32.00,9331991,576
LAUCN130290000000003,13029,13029,b13029,4.156,5.9,#N/A,#N/A,#N/A,#N/A,5.156,#N/A,#N/A,"Bryan County, GA","Bryan, GA",32.017969,-81.438543,GA,#REF!,2,2,14714,66066,138.3146656,12.0098905,26.78003734,30.60503608,30.60503608,"2,435.00",8.05,576.00,446.00,36.00,42.00,52.00,27591307,908
LAUCN130450000000003,13045,13045,b13045,5.716,7.3,#N/A,#N/A,#N/A,#N/A,6.716,#N/A,#N/A,"Carroll County, GA","Carroll, GA",33.582237,-85.080527,GA,#REF!,1,1,51922,45493,95.24337904,20.25840625,35.69986246,25.78794885,18.25378245,"1,277.00",1.15,"1,932.00","1,351.00",146.00,58.00,377.00,93666865,846
LAUCN130510000000003,13051,13051,b13051,4.768,6.2,#N/A,#N/A,#N/A,#N/A,5.768,#N/A,#N/A,"Chatham County, GA","Chatham, GA",31.980523,-81.08519,GA,#REF!,2,2,129562,45254,94.74301267,11.28477168,27.59512712,29.86062837,31.25947283,"10,750.00",4.05,"7,065.00","4,411.00",745.00,379.00,"1,530.00",335949734,1264
LAUCN130590000000003,13059,13059,b13059,4.456,6.9,#N/A,#N/A,#N/A,#N/A,5.456,#N/A,#N/A,"Clarke County, GA","Clarke, GA",33.952185,-83.367152,GA,#REF!,3,2,57139,32864,68.80351722,14.90569961,22.14099467,23.45752084,39.49578488,876.00,0.75,"2,931.00","1,953.00",270.00,147.00,561.00,198421480,1701
LAUCN130610000000003,13061,13061,b13061,6.368,12.4,#N/A,#N/A,#N/A,#N/A,7.368,#N/A,#N/A,"Clay County, GA","Clay, GA",31.619831,-84.992583,GA,#REF!,9,12,1064,27102,56.74029101,22.14667314,39.67945605,30.30597377,7.867897037,-83.00,-2.61,41.00,28.00,4.00,4.00,5.00,12186410,3838
LAUCN130630000000003,13063,13063,b13063,6.624,7.9,#N/A,#N/A,#N/A,#N/A,7.624,#N/A,#N/A,"Clayton County, GA","Clayton, GA",33.542686,-84.355573,GA,#REF!,1,1,127005,40606,85.0120381,18.31938791,31.75033921,31.92999648,18.0002764,"-3,270.00",-1.26,"3,914.00","2,257.00",324.00,258.00,"1,075.00",143379284,552
LAUCN130710000000003,13071,13071,b13071,5.2,7.2,#N/A,#N/A,#N/A,#N/A,6.2,#N/A,#N/A,"Colquitt County, GA","Colquitt, GA",31.189758,-83.769741,GA,#REF!,6,5,21241,33095,69.28713493,27.85931875,37.23691498,21.77720853,13.12655774,-462.00,-1.02,860.00,621.00,76.00,28.00,135.00,50656902,1110
LAUCN130910000000003,13091,13091,b13091,5.82,9,#N/A,#N/A,#N/A,#N/A,6.82,#N/A,#N/A,"Dodge County, GA","Dodge, GA",32.160235,-83.156241,GA,#REF!,6,6,8292,33893,70.9578143,19.75036204,42.87290532,22.17778084,15.1989518,-976.00,-4.48,336.00,235.00,38.00,21.00,42.00,20375045,936
LAUCN130930000000003,13093,13093,b13093,5.964,8.3,#N/A,#N/A,#N/A,#N/A,6.964,#N/A,#N/A,"Dooly County, GA","Dooly, GA",32.151995,-83.807167,GA,#REF!,6,6,4790,31620,66.19909976,29.1025641,39.32938856,21.44970414,10.1183432,-730.00,-4.89,162.00,111.00,20.00,9.00,22.00,35593123,2394
LAUCN130950000000003,13095,13095,b13095,6.24,8.7,#N/A,#N/A,#N/A,#N/A,7.24,#N/A,#N/A,"Dougherty County, GA","Dougherty, GA",31.532588,-84.20904,GA,#REF!,3,2,41238,31575,66.10488852,20.06466926,28.55938908,33.53341818,17.84252348,"-4,423.00",-4.68,"2,387.00","1,445.00",237.00,144.00,561.00,118475243,1253
