id,Area_Type,FIPS,FIPS_Code,area_text,state
1240,F,CN0107700000000,01077,"Lauderdale County, AL",AL
1241,F,CN0107900000000,01079,"Lawrence County, AL",AL
1242,F,CN0108100000000,01081,"Lee County, AL",AL
1243,F,CN0108300000000,01083,"Limestone County, AL",AL
1244,F,CN0108500000000,01085,"Lowndes County, AL",AL
1245,F,CN0108700000000,01087,"Macon County, AL",AL
1246,F,CN0108900000000,01089,"Madison County, AL",AL
1247,F,CN0109100000000,01091,"Marengo County, AL",AL
1248,F,CN0109300000000,01093,"Marion County, AL",AL
1249,F,CN0109500000000,01095,"Marshall County, AL",AL
1250,F,CN0109700000000,01097,"Mobile County, AL",AL
1251,F,CN0109900000000,01099,"Monroe County, AL",AL
1252,F,CN0110100000000,01101,"Montgomery County, AL",AL
1253,F,CN0110300000000,01103,"Morgan County, AL",AL
1254,F,CN0110500000000,01105,"Perry County, AL",AL
1255,F,CN0110700000000,01107,"Pickens County, AL",AL
1256,F,CN0110900000000,01109,"Pike County, AL",AL
1257,F,CN0111100000000,01111,"Randolph County, AL",AL
1258,F,CN0111300000000,01113,"Russell County, AL",AL
1259,F,CN0111500000000,01115,"St. Clair County, AL",AL
1260,F,CN0111700000000,01117,"Shelby County, AL",AL
1261,F,CN0111900000000,01119,"Sumter County, AL",AL
1262,F,CN0112100000000,01121,"Talladega County, AL",AL
1263,F,CN0112300000000,01123,"Tallapoosa County, AL",AL
1264,F,CN0112500000000,01125,"Tuscaloosa County, AL",AL
1265,F,CN0112700000000,01127,"Walker County, AL",AL
1266,F,CN0112900000000,01129,"Washington County, AL",AL
1267,F,CN0113100000000,01131,"Wilcox County, AL",AL
1268,F,CN0113300000000,01133,"Winston County, AL",AL
1269,F,CN0201300000000,02013,"Aleutians East Borough, AK",AK
1270,F,CN0201600000000,02016,"Aleutians West Census Area, AK",AK
1271,F,CN0202000000000,02020,"Anchorage Borough/municipality, AK",AK
1272,F,CN0205000000000,02050,"Bethel Census Area, AK",AK
1273,F,CN0206000000000,02060,"Bristol Bay Borough, AK",AK
1274,F,CN0206800000000,02068,"Denali Borough, AK",AK
1275,F,CN0207000000000,02070,"Dillingham Census Area, AK",AK
1276,F,CN0209000000000,02090,"Fairbanks North Star Borough, AK",AK
1277,F,CN0210000000000,02100,"Haines Borough, AK",AK
1278,F,CN0210500000000,02105,"Hoonah-Angoon Census Area, AK",AK
1279,F,CN0211000000000,02110,"Juneau Borough/city, AK",AK
1280,F,CN0212200000000,02122,"Kenai Peninsula Borough, AK",AK
1281,F,CN0213000000000,02130,"Ketchikan Gateway Borough, AK",AK
1282,F,CN0215000000000,02150,"Kodiak Island Borough, AK",AK
1283,F,CN0216400000000,02164,"Lake and Peninsula Borough, AK",AK
1284,F,CN0217000000000,02170,"Matanuska-Susitna Borough, AK",AK
1285,F,CN0218000000000,02180,"Nome Census Area, AK",AK
1286,F,CN0218500000000,02185,"North Slope Borough, AK",AK
1287,F,CN0218800000000,02188,"Northwest Arctic Borough, AK",AK
1288,F,CN0219500000000,02195,"Petersburg Census Area, AK",AK
1289,F,CN0219800000000,02198,"Prince of Wales-Hyder Census Area, AK",AK
1290,F,CN0220100000000,02201,"Prince of Wales-Outer Ketchikan Census Area, AK",AK
1291,F,CN0222000000000,02220,"Sitka Borough/city, AK",AK
1292,F,CN0223000000000,02230,"Skagway Municipality, AK",AK
1293,F,CN0223200000000,02232,"Skagway-Hoonah-Angoon Census Area, AK",AK
1294,F,CN0224000000000,02240,"Southeast Fairbanks Census Area, AK",AK
1295,F,CN0226100000000,02261,"Valdez-Cordova Census Area, AK",AK
1296,F,CN0227000000000,02270,"Wade Hampton Census Area, AK",AK
1297,F,CN0227500000000,02275,"Wrangell Borough/city, AK",AK
1298,F,CN0228000000000,02280,"Wrangell-Petersburg Census Area, AK",AK
1299,F,CN0228200000000,02282,"Yakutat Borough/city, AK",AK
1300,F,CN0229000000000,02290,"Yukon-Koyukuk Census Area, AK",AK
1301,F,CN0400100000000,04001,"Apache County, AZ",AZ
1302,F,CN0400300000000,04003,"Cochise County, AZ",AZ
1303,F,CN0400500000000,04005,"Coconino County, AZ",AZ
1304,F,CN0400700000000,04007,"Gila County, AZ",AZ
1305,F,CN0400900000000,04009,"Graham County, AZ",AZ
1306,F,CN0401100000000,04011,"Greenlee County, AZ",AZ
1307,F,CN0401200000000,04012,"La Paz County, AZ",AZ
1308,F,CN0401300000000,04013,"Maricopa County, AZ",AZ
1309,F,CN0401500000000,04015,"Mohave County, AZ",AZ
1310,F,CN0401700000000,04017,"Navajo County, AZ",AZ
1311,F,CN0401900000000,04019,"Pima County, AZ",AZ
1312,F,CN0402100000000,04021,"Pinal County, AZ",AZ
1313,F,CN0402300000000,04023,"Santa Cruz County, AZ",AZ
1314,F,CN0402500000000,04025,"Yavapai County, AZ",AZ
1315,F,CN0402700000000,04027,"Yuma County, AZ",AZ
1316,F,CN0500100000000,05001,"Arkansas County, AR",AR
1317,F,CN0500300000000,05003,"Ashley County, AR",AR
1318,F,CN0500500000000,05005,"Baxter County, AR",AR
1319,F,CN0500700000000,05007,"Benton County, AR",AR
1320,F,CN0500900000000,05009,"Boone County, AR",AR
1321,F,CN0501100000000,05011,"Bradley County, AR",AR
1322,F,CN0501300000000,05013,"Calhoun County, AR",AR
1323,F,CN0501500000000,05015,"Carroll County, AR",AR
1324,F,CN0501700000000,05017,"Chicot County, AR",AR
1325,F,CN0501900000000,05019,"Clark County, AR",AR
1326,F,CN0502100000000,05021,"Clay County, AR",AR
1327,F,CN0502300000000,05023,"Cleburne County, AR",AR
1328,F,CN0502500000000,05025,"Cleveland County, AR",AR
1329,F,CN0502700000000,05027,"Columbia County, AR",AR
1330,F,CN0502900000000,05029,"Conway County, AR",AR
1331,F,CN0503100000000,05031,"Craighead County, AR",AR
1332,F,CN0503300000000,05033,"Crawford County, AR",AR
1333,F,CN0503500000000,05035,"Crittenden County, AR",AR
1334,F,CN0503700000000,05037,"Cross County, AR",AR
1335,F,CN0503900000000,05039,"Dallas County, AR",AR
1336,F,CN0504100000000,05041,"Desha County, AR",AR
1337,F,CN0504300000000,05043,"Drew County, AR",AR
1338,F,CN0504500000000,05045,"Faulkner County, AR",AR
1339,F,CN0504700000000,05047,"Franklin County, AR",AR
1340,F,CN0504900000000,05049,"Fulton County, AR",AR
1341,F,CN0505100000000,05051,"Garland County, AR",AR
1342,F,CN0505300000000,05053,"Grant County, AR",AR
1343,F,CN0505500000000,05055,"Greene County, AR",AR
1344,F,CN0505700000000,05057,"Hempstead County, AR",AR
1345,F,CN0505900000000,05059,"Hot Spring County, AR",AR
1346,F,CN0506100000000,05061,"Howard County, AR",AR
1347,F,CN0506300000000,05063,"Independence County, AR",AR
1348,F,CN0506500000000,05065,"Izard County, AR",AR
1349,F,CN0506700000000,05067,"Jackson County, AR",AR
1350,F,CN0506900000000,05069,"Jefferson County, AR",AR
1351,F,CN0507100000000,05071,"Johnson County, AR",AR
1352,F,CN0507300000000,05073,"Lafayette County, AR",AR
1353,F,CN0507500000000,05075,"Lawrence County, AR",AR
1354,F,CN0507700000000,05077,"Lee County, AR",AR
1355,F,CN0507900000000,05079,"Lincoln County, AR",AR
1356,F,CN0508100000000,05081,"Little River County, AR",AR
1357,F,CN0508300000000,05083,"Logan County, AR",AR
1358,F,CN0508500000000,05085,"Lonoke County, AR",AR
1359,F,CN0508700000000,05087,"Madison County, AR",AR
1360,F,CN0508900000000,05089,"Marion County, AR",AR
1361,F,CN0509100000000,05091,"Miller County, AR",AR
1362,F,CN0509300000000,05093,"Mississippi County, AR",AR
1363,F,CN0509500000000,05095,"Monroe County, AR",AR
1364,F,CN0509700000000,05097,"Montgomery County, AR",AR
1365,F,CN0509900000000,05099,"Nevada County, AR",AR
1366,F,CN0510100000000,05101,"Newton County, AR",AR
1367,F,CN0510300000000,05103,"Ouachita County, AR",AR
1368,F,CN0510500000000,05105,"Perry County, AR",AR
1369,F,CN0510700000000,05107,"Phillips County, AR",AR
1370,F,CN0510900000000,05109,"Pike County, AR",AR
1371,F,CN0511100000000,05111,"Poinsett County, AR",AR
1372,F,CN0511300000000,05113,"Polk County, AR",AR
1373,F,CN0511500000000,05115,"Pope County, AR",AR
1374,F,CN0511700000000,05117,"Prairie County, AR",AR
1375,F,CN0511900000000,05119,"Pulaski County, AR",AR
1376,F,CN0512100000000,05121,"Randolph County, AR",AR
1377,F,CN0512300000000,05123,"St. Francis County, AR",AR
1378,F,CN0512500000000,05125,"Saline County, AR",AR
1379,F,CN0512700000000,05127,"Scott County, AR",AR
1380,F,CN0512900000000,05129,"Searcy County, AR",AR
1381,F,CN0513100000000,05131,"Sebastian County, AR",AR
1382,F,CN0513300000000,05133,"Sevier County, AR",AR
1383,F,CN0513500000000,05135,"Sharp County, AR",AR
1384,F,CN0513700000000,05137,"Stone County, AR",AR
1385,F,CN0513900000000,05139,"Union County, AR",AR
1386,F,CN0514100000000,05141,"Van Buren County, AR",AR
1387,F,CN0514300000000,05143,"Washington County, AR",AR
1388,F,CN0514500000000,05145,"White County, AR",AR
1389,F,CN0514700000000,05147,"Woodruff County, AR",AR
1390,F,CN0514900000000,05149,"Yell County, AR",AR
1391,F,CN0600100000000,06001,"Alameda County, CA",CA
1392,F,CN0600300000000,06003,"Alpine County, CA",CA
1393,F,CN0600500000000,06005,"Amador County, CA",CA
1394,F,CN0600700000000,06007,"Butte County, CA",CA
1395,F,CN0600900000000,06009,"Calaveras County, CA",CA
1396,F,CN0601100000000,06011,"Colusa County, CA",CA
1397,F,CN0601300000000,06013,"Contra Costa County, CA",CA
1398,F,CN0601500000000,06015,"Del Norte County, CA",CA
1399,F,CN0601700000000,06017,"El Dorado County, CA",CA
1400,F,CN0601900000000,06019,"Fresno County, CA",CA
1401,F,CN0602100000000,06021,"Glenn County, CA",CA
1402,F,CN0602300000000,06023,"Humboldt County, CA",CA
1403,F,CN0602500000000,06025,"Imperial County, CA",CA
1404,F,CN0602700000000,06027,"Inyo County, CA",CA
1405,F,CN0602900000000,06029,"Kern County, CA",CA
1406,F,CN0603100000000,06031,"Kings County, CA",CA
1407,F,CN0603300000000,06033,"Lake County, CA",CA
1408,F,CN0603500000000,06035,"Lassen County, CA",CA
1409,F,CN0603700000000,06037,"Los Angeles County, CA",CA
1410,F,CN0603900000000,06039,"Madera County, CA",CA
1411,F,CN0604100000000,06041,"Marin County, CA",CA
1412,F,CN0604300000000,06043,"Mariposa County, CA",CA
1413,F,CN0604500000000,06045,"Mendocino County, CA",CA
1414,F,CN0604700000000,06047,"Merced County, CA",CA
1415,F,CN0604900000000,06049,"Modoc County, CA",CA
1416,F,CN0605100000000,06051,"Mono County, CA",CA
1417,F,CN0605300000000,06053,"Monterey County, CA",CA
1418,F,CN0605500000000,06055,"Napa County, CA",CA
1419,F,CN0605700000000,06057,"Nevada County, CA",CA
1420,F,CN0605900000000,06059,"Orange County, CA",CA
1421,F,CN0606100000000,06061,"Placer County, CA",CA
1422,F,CN0606300000000,06063,"Plumas County, CA",CA
1423,F,CN0606500000000,06065,"Riverside County, CA",CA
1424,F,CN0606700000000,06067,"Sacramento County, CA",CA
1425,F,CN0606900000000,06069,"San Benito County, CA",CA
1426,F,CN0607100000000,06071,"San Bernardino County, CA",CA
1427,F,CN0607300000000,06073,"San Diego County, CA",CA
1428,F,CN0607500000000,06075,"San Francisco County/city, CA",CA
1429,F,CN0607700000000,06077,"San Joaquin County, CA",CA
1430,F,CN0607900000000,06079,"San Luis Obispo County, CA",CA
1431,F,CN0608100000000,06081,"San Mateo County, CA",CA
1432,F,CN0608300000000,06083,"Santa Barbara County, CA",CA
1433,F,CN0608500000000,06085,"Santa Clara County, CA",CA
1434,F,CN0608700000000,06087,"Santa Cruz County, CA",CA
1435,F,CN0608900000000,06089,"Shasta County, CA",CA
1436,F,CN0609100000000,06091,"Sierra County, CA",CA
1437,F,CN0609300000000,06093,"Siskiyou County, CA",CA
1438,F,CN0609500000000,06095,"Solano County, CA",CA
1439,F,CN0609700000000,06097,"Sonoma County, CA",CA
1440,F,CN0609900000000,06099,"Stanislaus County, CA",CA
1441,F,CN0610100000000,06101,"Sutter County, CA",CA
1442,F,CN0610300000000,06103,"Tehama County, CA",CA
1443,F,CN0610500000000,06105,"Trinity County, CA",CA
1444,F,CN0610700000000,06107,"Tulare County, CA",CA
1445,F,CN0610900000000,06109,"Tuolumne County, CA",CA
1446,F,CN0611100000000,06111,"Ventura County, CA",CA
1447,F,CN0611300000000,06113,"Yolo County, CA",CA
1448,F,CN0611500000000,06115,"Yuba County, CA",CA
1449,F,CN0800100000000,08001,"Adams County, CO",CO
1450,F,CN0800300000000,08003,"Alamosa County, CO",CO
1451,F,CN0800500000000,08005,"Arapahoe County, CO",CO
1452,F,CN0800700000000,08007,"Archuleta County, CO",CO
1453,F,CN0800900000000,08009,"Baca County, CO",CO
1454,F,CN0801100000000,08011,"Bent County, CO",CO
1455,F,CN0801300000000,08013,"Boulder County, CO",CO
1456,F,CN0801400000000,08014,"Broomfield County/city, CO",CO
1457,F,CN0801500000000,08015,"Chaffee County, CO",CO
1458,F,CN0801700000000,08017,"Cheyenne County, CO",CO
1459,F,CN0801900000000,08019,"Clear Creek County, CO",CO
1460,F,CN0802100000000,08021,"Conejos County, CO",CO
1461,F,CN0802300000000,08023,"Costilla County, CO",CO
1462,F,CN0802500000000,08025,"Crowley County, CO",CO
1463,F,CN0802700000000,08027,"Custer County, CO",CO
1464,F,CN0802900000000,08029,"Delta County, CO",CO
1465,F,CN0803100000000,08031,"Denver County/city, CO",CO
1466,F,CN0803300000000,08033,"Dolores County, CO",CO
1467,F,CN0803500000000,08035,"Douglas County, CO",CO
1468,F,CN0803700000000,08037,"Eagle County, CO",CO
1469,F,CN0803900000000,08039,"Elbert County, CO",CO
1470,F,CN0804100000000,08041,"El Paso County, CO",CO
1471,F,CN0804300000000,08043,"Fremont County, CO",CO
1472,F,CN0804500000000,08045,"Garfield County, CO",CO
1473,F,CN0804700000000,08047,"Gilpin County, CO",CO
1474,F,CN0804900000000,08049,"Grand County, CO",CO
1475,F,CN0805100000000,08051,"Gunnison County, CO",CO
1476,F,CN0805300000000,08053,"Hinsdale County, CO",CO
1477,F,CN0805500000000,08055,"Huerfano County, CO",CO
1478,F,CN0805700000000,08057,"Jackson County, CO",CO
1479,F,CN0805900000000,08059,"Jefferson County, CO",CO
1480,F,CN0806100000000,08061,"Kiowa County, CO",CO
1481,F,CN0806300000000,08063,"Kit Carson County, CO",CO
1482,F,CN0806500000000,08065,"Lake County, CO",CO
1483,F,CN0806700000000,08067,"La Plata County, CO",CO
1484,F,CN0806900000000,08069,"Larimer County, CO",CO
1485,F,CN0807100000000,08071,"Las Animas County, CO",CO
1486,F,CN0807300000000,08073,"Lincoln County, CO",CO
1487,F,CN0807500000000,08075,"Logan County, CO",CO
1488,F,CN0807700000000,08077,"Mesa County, CO",CO
1489,F,CN0807900000000,08079,"Mineral County, CO",CO
1490,F,CN0808100000000,08081,"Moffat County, CO",CO
1491,F,CN0808300000000,08083,"Montezuma County, CO",CO
1492,F,CN0808500000000,08085,"Montrose County, CO",CO
1493,F,CN0808700000000,08087,"Morgan County, CO",CO
1494,F,CN0808900000000,08089,"Otero County, CO",CO
1495,F,CN0809100000000,08091,"Ouray County, CO",CO
1496,F,CN0809300000000,08093,"Park County, CO",CO
1497,F,CN0809500000000,08095,"Phillips County, CO",CO
1498,F,CN0809700000000,08097,"Pitkin County, CO",CO
1499,F,CN0809900000000,08099,"Prowers County, CO",CO
1500,F,CN0810100000000,08101,"Pueblo County, CO",CO
1501,F,CN0810300000000,08103,"Rio Blanco County, CO",CO
1502,F,CN0810500000000,08105,"Rio Grande County, CO",CO
1503,F,CN0810700000000,08107,"Routt County, CO",CO
1504,F,CN0810900000000,08109,"Saguache County, CO",CO
1505,F,CN0811100000000,08111,"San Juan County, CO",CO
1506,F,CN0811300000000,08113,"San Miguel County, CO",CO
1507,F,CN0811500000000,08115,"Sedgwick County, CO",CO
1508,F,CN0811700000000,08117,"Summit County, CO",CO
1509,F,CN0811900000000,08119,"Teller County, CO",CO
1510,F,CN0812100000000,08121,"Washington County, CO",CO
1511,F,CN0812300000000,08123,"Weld County, CO",CO
1512,F,CN0812500000000,08125,"Yuma County, CO",CO
1513,F,CN0900100000000,09001,"Fairfield County, CT",CT
1514,F,CN0900300000000,09003,"Hartford County, CT",CT
1515,F,CN0900500000000,09005,"Litchfield County, CT",CT
1516,F,CN0900700000000,09007,"Middlesex County, CT",CT
1517,F,CN0900900000000,09009,"New Haven County, CT",CT
1518,F,CN0901100000000,09011,"New London County, CT",CT
1519,F,CN0901300000000,09013,"Tolland County, CT",CT
1520,F,CN0901500000000,09015,"Windham County, CT",CT
1521,F,CN1000100000000,10001,"Kent County, DE",DE
1522,F,CN1000300000000,10003,"New Castle County, DE",DE
1523,F,CN1000500000000,10005,"Sussex County, DE",DE
1524,F,CN1100100000000,11001,District of Columbia,ia
1525,F,CN1200100000000,12001,"Alachua County, FL",FL
1526,F,CN1200300000000,12003,"Baker County, FL",FL
1527,F,CN1200500000000,12005,"Bay County, FL",FL
1528,F,CN1200700000000,12007,"Bradford County, FL",FL
1529,F,CN1200900000000,12009,"Brevard County, FL",FL
1530,F,CN1201100000000,12011,"Broward County, FL",FL
1531,F,CN1201300000000,12013,"Calhoun County, FL",FL
1532,F,CN1201500000000,12015,"Charlotte County, FL",FL
1533,F,CN1201700000000,12017,"Citrus County, FL",FL
1534,F,CN1201900000000,12019,"Clay County, FL",FL
1535,F,CN1202100000000,12021,"Collier County, FL",FL
1536,F,CN1202300000000,12023,"Columbia County, FL",FL
1537,F,CN1202700000000,12027,"DeSoto County, FL",FL
1538,F,CN1202900000000,12029,"Dixie County, FL",FL
1539,F,CN1203100000000,12031,"Duval County, FL",FL
1540,F,CN1203300000000,12033,"Escambia County, FL",FL
1541,F,CN1203500000000,12035,"Flagler County, FL",FL
1542,F,CN1203700000000,12037,"Franklin County, FL",FL
1543,F,CN1203900000000,12039,"Gadsden County, FL",FL
1544,F,CN1204100000000,12041,"Gilchrist County, FL",FL
1545,F,CN1204300000000,12043,"Glades County, FL",FL
1546,F,CN1204500000000,12045,"Gulf County, FL",FL
1547,F,CN1204700000000,12047,"Hamilton County, FL",FL
1548,F,CN1204900000000,12049,"Hardee County, FL",FL
1549,F,CN1205100000000,12051,"Hendry County, FL",FL
1550,F,CN1205300000000,12053,"Hernando County, FL",FL
1551,F,CN1205500000000,12055,"Highlands County, FL",FL
1552,F,CN1205700000000,12057,"Hillsborough County, FL",FL
1553,F,CN1205900000000,12059,"Holmes County, FL",FL
1554,F,CN1206100000000,12061,"Indian River County, FL",FL
1555,F,CN1206300000000,12063,"Jackson County, FL",FL
1556,F,CN1206500000000,12065,"Jefferson County, FL",FL
1557,F,CN1206700000000,12067,"Lafayette County, FL",FL
1558,F,CN1206900000000,12069,"Lake County, FL",FL
1559,F,CN1207100000000,12071,"Lee County, FL",FL
1560,F,CN1207300000000,12073,"Leon County, FL",FL
1561,F,CN1207500000000,12075,"Levy County, FL",FL
1562,F,CN1207700000000,12077,"Liberty County, FL",FL
1563,F,CN1207900000000,12079,"Madison County, FL",FL
1564,F,CN1208100000000,12081,"Manatee County, FL",FL
1565,F,CN1208300000000,12083,"Marion County, FL",FL
1566,F,CN1208500000000,12085,"Martin County, FL",FL
1567,F,CN1208600000000,12086,"Miami-Dade County, FL",FL
1568,F,CN1208700000000,12087,"Monroe County, FL",FL
1569,F,CN1208900000000,12089,"Nassau County, FL",FL
1570,F,CN1209100000000,12091,"Okaloosa County, FL",FL
1571,F,CN1209300000000,12093,"Okeechobee County, FL",FL
1572,F,CN1209500000000,12095,"Orange County, FL",FL
1573,F,CN1209700000000,12097,"Osceola County, FL",FL
1574,F,CN1209900000000,12099,"Palm Beach County, FL",FL
1575,F,CN1210100000000,12101,"Pasco County, FL",FL
1576,F,CN1210300000000,12103,"Pinellas County, FL",FL
1577,F,CN1210500000000,12105,"Polk County, FL",FL
1578,F,CN1210700000000,12107,"Putnam County, FL",FL
1579,F,CN1210900000000,12109,"St. Johns County, FL",FL
1580,F,CN1211100000000,12111,"St. Lucie County, FL",FL
1581,F,CN1211300000000,12113,"Santa Rosa County, FL",FL
1582,F,CN1211500000000,12115,"Sarasota County, FL",FL
1583,F,CN1211700000000,12117,"Seminole County, FL",FL
1584,F,CN1211900000000,12119,"Sumter County, FL",FL
1585,F,CN1212100000000,12121,"Suwannee County, FL",FL
1586,F,CN1212300000000,12123,"Taylor County, FL",FL
1587,F,CN1212500000000,12125,"Union County, FL",FL
1588,F,CN1212700000000,12127,"Volusia County, FL",FL
1589,F,CN1212900000000,12129,"Wakulla County, FL",FL
1590,F,CN1213100000000,12131,"Walton County, FL",FL
1591,F,CN1213300000000,12133,"Washington County, FL",FL
1592,F,CN1300100000000,13001,"Appling County, GA",GA
1593,F,CN1300300000000,13003,"Atkinson County, GA",GA
1594,F,CN1300500000000,13005,"Bacon County, GA",GA
1595,F,CN1300700000000,13007,"Baker County, GA",GA
1596,F,CN1300900000000,13009,"Baldwin County, GA",GA
1597,F,CN1301100000000,13011,"Banks County, GA",GA
1598,F,CN1301300000000,13013,"Barrow County, GA",GA
1599,F,CN1301500000000,13015,"Bartow County, GA",GA
1600,F,CN1301700000000,13017,"Ben Hill County, GA",GA
1601,F,CN1301900000000,13019,"Berrien County, GA",GA
1602,F,CN1302100000000,13021,"Bibb County, GA",GA
1603,F,CN1302300000000,13023,"Bleckley County, GA",GA
1604,F,CN1302500000000,13025,"Brantley County, GA",GA
1605,F,CN1302700000000,13027,"Brooks County, GA",GA
1606,F,CN1302900000000,13029,"Bryan County, GA",GA
1607,F,CN1303100000000,13031,"Bulloch County, GA",GA
1608,F,CN1303300000000,13033,"Burke County, GA",GA
1609,F,CN1303500000000,13035,"Butts County, GA",GA
1610,F,CN1303700000000,13037,"Calhoun County, GA",GA
1611,F,CN1303900000000,13039,"Camden County, GA",GA
1612,F,CN1304300000000,13043,"Candler County, GA",GA
1613,F,CN1304500000000,13045,"Carroll County, GA",GA
1614,F,CN1304700000000,13047,"Catoosa County, GA",GA
1615,F,CN1304900000000,13049,"Charlton County, GA",GA
1616,F,CN1305100000000,13051,"Chatham County, GA",GA
1617,F,CN1305300000000,13053,"Chattahoochee County, GA",GA
1618,F,CN1305500000000,13055,"Chattooga County, GA",GA
1619,F,CN1305700000000,13057,"Cherokee County, GA",GA
1620,F,CN1305900000000,13059,"Clarke County, GA",GA
1621,F,CN1306100000000,13061,"Clay County, GA",GA
1622,F,CN1306300000000,13063,"Clayton County, GA",GA
1623,F,CN1306500000000,13065,"Clinch County, GA",GA
1624,F,CN1306700000000,13067,"Cobb County, GA",GA
1625,F,CN1306900000000,13069,"Coffee County, GA",GA
1626,F,CN1307100000000,13071,"Colquitt County, GA",GA
1627,F,CN1307300000000,13073,"Columbia County, GA",GA
1628,F,CN1307500000000,13075,"Cook County, GA",GA
1629,F,CN1307700000000,13077,"Coweta County, GA",GA
1630,F,CN1307900000000,13079,"Crawford County, GA",GA
1631,F,CN1308100000000,13081,"Crisp County, GA",GA
1632,F,CN1308300000000,13083,"Dade County, GA",GA
1633,F,CN1308500000000,13085,"Dawson County, GA",GA
1634,F,CN1308700000000,13087,"Decatur County, GA",GA
1635,F,CN1308900000000,13089,"DeKalb County, GA",GA
1636,F,CN1309100000000,13091,"Dodge County, GA",GA
1637,F,CN1309300000000,13093,"Dooly County, GA",GA
1638,F,CN1309500000000,13095,"Dougherty County, GA",GA
1639,F,CN1309700000000,13097,"Douglas County, GA",GA
1640,F,CN1309900000000,13099,"Early County, GA",GA
1641,F,CN1310100000000,13101,"Echols County, GA",GA
1642,F,CN1310300000000,13103,"Effingham County, GA",GA
1643,F,CN1310500000000,13105,"Elbert County, GA",GA
1644,F,CN1310700000000,13107,"Emanuel County, GA",GA
1645,F,CN1310900000000,13109,"Evans County, GA",GA
1646,F,CN1311100000000,13111,"Fannin County, GA",GA
1647,F,CN1311300000000,13113,"Fayette County, GA",GA
1648,F,CN1311500000000,13115,"Floyd County, GA",GA
1649,F,CN1311700000000,13117,"Forsyth County, GA",GA
1650,F,CN1311900000000,13119,"Franklin County, GA",GA
1651,F,CN1312100000000,13121,"Fulton County, GA",GA
1652,F,CN1312300000000,13123,"Gilmer County, GA",GA
1653,F,CN1312500000000,13125,"Glascock County, GA",GA
1654,F,CN1312700000000,13127,"Glynn County, GA",GA
1655,F,CN1312900000000,13129,"Gordon County, GA",GA
1656,F,CN1313100000000,13131,"Grady County, GA",GA
1657,F,CN1313300000000,13133,"Greene County, GA",GA
1658,F,CN1313500000000,13135,"Gwinnett County, GA",GA
1659,F,CN1313700000000,13137,"Habersham County, GA",GA
1660,F,CN1313900000000,13139,"Hall County, GA",GA
1661,F,CN1314100000000,13141,"Hancock County, GA",GA
1662,F,CN1314300000000,13143,"Haralson County, GA",GA
1663,F,CN1314500000000,13145,"Harris County, GA",GA
1664,F,CN1314700000000,13147,"Hart County, GA",GA
1665,F,CN1314900000000,13149,"Heard County, GA",GA
1666,F,CN1315100000000,13151,"Henry County, GA",GA
1667,F,CN1315300000000,13153,"Houston County, GA",GA
1668,F,CN1315500000000,13155,"Irwin County, GA",GA
1669,F,CN1315700000000,13157,"Jackson County, GA",GA
1670,F,CN1315900000000,13159,"Jasper County, GA",GA
1671,F,CN1316100000000,13161,"Jeff Davis County, GA",GA
1672,F,CN1316300000000,13163,"Jefferson County, GA",GA
