series_id,FIPS_Code,fips_code3,bFIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DateReturned3moMovingAve_VALUES,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,County_Name,LAT,LON,State
LAUCN050170000000003,05017,5017,b05017,8.28,10.1,#N/A,#N/A,#N/A,#N/A,9.28,#N/A,#N/A,"Chicot County, AR",33.267139,-91.297158,AR
LAUCN050810000000003,05081,5081,b05081,4.052,6.3,#N/A,#N/A,#N/A,#N/A,5.052,#N/A,#N/A,"Little River County, AR",33.699497,-94.229774,AR
LAUCN050910000000003,05091,5091,b05091,4.264,5.8,#N/A,#N/A,#N/A,#N/A,5.264,#N/A,#N/A,"Miller County, AR",33.305505,-93.901502,AR
LAUCN051050000000003,05105,5105,b05105,5.2,6.7,#N/A,#N/A,#N/A,#N/A,6.2,#N/A,#N/A,"Perry County, AR",34.946363,-92.926877,AR
LAUCN051330000000003,05133,5133,b05133,4.1,6.6,#N/A,#N/A,#N/A,#N/A,5.1,#N/A,#N/A,"Sevier County, AR",33.994877,-94.243279,AR
LAUCN061070000000003,06107,6107,b06107,10.012,11.7,#N/A,#N/A,#N/A,#N/A,11.012,#N/A,#N/A,"Tulare County, CA",36.228824,-118.781061,CA
LAUCN080290000000003,08029,8029,b08029,3.812,5.7,#N/A,#N/A,#N/A,#N/A,4.812,#N/A,#N/A,"Delta County, CO",38.861756,-107.864757,CO
LAUCN080430000000003,08043,8043,b08043,5.504,6.5,#N/A,#N/A,#N/A,#N/A,6.504,#N/A,#N/A,"Fremont County, CO",38.45517,-105.424958,CO
LAUCN080450000000003,08045,8045,b08045,2.768,3.9,#N/A,#N/A,#N/A,#N/A,3.768,#N/A,#N/A,"Garfield County, CO",39.599352,-107.90978,CO
LAUCN080550000000003,08055,8055,b08055,5.552,8.2,#N/A,#N/A,#N/A,#N/A,6.552,#N/A,#N/A,"Huerfano County, CO",37.687815,-104.959928,CO
LAUCN080710000000003,08071,8071,b08071,4.044,6.5,#N/A,#N/A,#N/A,#N/A,5.044,#N/A,#N/A,"Las Animas County, CO",37.318831,-104.04411,CO
LAUCN080770000000003,08077,8077,b08077,3.512,5.9,#N/A,#N/A,#N/A,#N/A,4.512,#N/A,#N/A,"Mesa County, CO",39.019492,-108.461837,CO
LAUCN081030000000003,08103,8103,b08103,2.344,5.2,#N/A,#N/A,#N/A,#N/A,3.344,#N/A,#N/A,"Rio Blanco County, CO",39.972622,-108.200716,CO
LAUCN120130000000003,12013,12013,b12013,4.564,6.5,#N/A,#N/A,#N/A,#N/A,5.564,#N/A,#N/A,"Calhoun County, FL",30.388801,-85.197915,FL
LAUCN120390000000003,12039,12039,b12039,5.296,7.2,#N/A,#N/A,#N/A,#N/A,6.296,#N/A,#N/A,"Gadsden County, FL",30.578687,-84.612607,FL
LAUCN120590000000003,12059,12059,b12059,4.352,6.8,#N/A,#N/A,#N/A,#N/A,5.352,#N/A,#N/A,"Holmes County, FL",30.866222,-85.812959,FL
LAUCN120630000000003,12063,12063,b12063,4.636,6.1,#N/A,#N/A,#N/A,#N/A,5.636,#N/A,#N/A,"Jackson County, FL",30.78925,-85.208813,FL
LAUCN120650000000003,12065,12065,b12065,4.232,6.2,#N/A,#N/A,#N/A,#N/A,5.232,#N/A,#N/A,"Jefferson County, FL",30.424558,-83.890859,FL
LAUCN120730000000003,12073,12073,b12073,3.86,5.3,#N/A,#N/A,#N/A,#N/A,4.86,#N/A,#N/A,"Leon County, FL",30.45931,-84.2778,FL
LAUCN120770000000003,12077,12077,b12077,3.548,5.9,#N/A,#N/A,#N/A,#N/A,4.548,#N/A,#N/A,"Liberty County, FL",30.259849,-84.86858,FL
LAUCN120860000000003,12086,12086,b12086,3.916,6.1,#N/A,#N/A,#N/A,#N/A,4.916,#N/A,#N/A,"Miami-Dade County, FL",25.610494,-80.499045,FL
LAUCN121070000000003,12107,12107,b12107,6.132,8,#N/A,#N/A,#N/A,#N/A,7.132,#N/A,#N/A,"Putnam County, FL",29.606006,-81.740894,FL
LAUCN121190000000003,12119,12119,b12119,4.612,7.4,#N/A,#N/A,#N/A,#N/A,5.612,#N/A,#N/A,"Sumter County, FL",28.714294,-82.074715,FL
LAUCN121230000000003,12123,12123,b12123,5.48,7,#N/A,#N/A,#N/A,#N/A,6.48,#N/A,#N/A,"Taylor County, FL",30.009908,-83.609483,FL
LAUCN121250000000003,12125,12125,b12125,4.02,5.5,#N/A,#N/A,#N/A,#N/A,5.02,#N/A,#N/A,"Union County, FL",30.05428,-82.366918,FL
LAUCN130010000000003,13001,13001,b13001,6.092,8.3,#N/A,#N/A,#N/A,#N/A,7.092,#N/A,#N/A,"Appling County, GA",31.739712,-82.290103,GA
LAUCN130070000000003,13007,13007,b13007,5.652,8.6,#N/A,#N/A,#N/A,#N/A,6.652,#N/A,#N/A,"Baker County, GA",31.31958,-84.454881,GA
LAUCN130110000000003,13011,13011,b13011,3.736,6.2,#N/A,#N/A,#N/A,#N/A,4.736,#N/A,#N/A,"Banks County, GA",34.351922,-83.498441,GA
LAUCN130190000000003,13019,13019,b13019,5.624,7.6,#N/A,#N/A,#N/A,#N/A,6.624,#N/A,#N/A,"Berrien County, GA",31.288652,-83.22787,GA
LAUCN130230000000003,13023,13023,b13023,6.184,9.9,#N/A,#N/A,#N/A,#N/A,7.184,#N/A,#N/A,"Bleckley County, GA",32.435403,-83.331717,GA
LAUCN130250000000003,13025,13025,b13025,5.408,8.1,#N/A,#N/A,#N/A,#N/A,6.408,#N/A,#N/A,"Brantley County, GA",31.197334,-81.982978,GA
LAUCN130270000000003,13027,13027,b13027,4.964,7,#N/A,#N/A,#N/A,#N/A,5.964,#N/A,#N/A,"Brooks County, GA",30.822934,-83.581905,GA
LAUCN130290000000003,13029,13029,b13029,4.156,5.9,#N/A,#N/A,#N/A,#N/A,5.156,#N/A,#N/A,"Bryan County, GA",32.017969,-81.438543,GA
LAUCN130450000000003,13045,13045,b13045,5.716,7.3,#N/A,#N/A,#N/A,#N/A,6.716,#N/A,#N/A,"Carroll County, GA",33.582237,-85.080527,GA
LAUCN130510000000003,13051,13051,b13051,4.768,6.2,#N/A,#N/A,#N/A,#N/A,5.768,#N/A,#N/A,"Chatham County, GA",31.980523,-81.08519,GA
LAUCN130590000000003,13059,13059,b13059,4.456,6.9,#N/A,#N/A,#N/A,#N/A,5.456,#N/A,#N/A,"Clarke County, GA",33.952185,-83.367152,GA
LAUCN130610000000003,13061,13061,b13061,6.368,12.4,#N/A,#N/A,#N/A,#N/A,7.368,#N/A,#N/A,"Clay County, GA",31.619831,-84.992583,GA
LAUCN130630000000003,13063,13063,b13063,6.624,7.9,#N/A,#N/A,#N/A,#N/A,7.624,#N/A,#N/A,"Clayton County, GA",33.542686,-84.355573,GA
LAUCN130710000000003,13071,13071,b13071,5.2,7.2,#N/A,#N/A,#N/A,#N/A,6.2,#N/A,#N/A,"Colquitt County, GA",31.189758,-83.769741,GA
LAUCN130910000000003,13091,13091,b13091,5.82,9,#N/A,#N/A,#N/A,#N/A,6.82,#N/A,#N/A,"Dodge County, GA",32.160235,-83.156241,GA
LAUCN130930000000003,13093,13093,b13093,5.964,8.3,#N/A,#N/A,#N/A,#N/A,6.964,#N/A,#N/A,"Dooly County, GA",32.151995,-83.807167,GA
LAUCN130950000000003,13095,13095,b13095,6.24,8.7,#N/A,#N/A,#N/A,#N/A,7.24,#N/A,#N/A,"Dougherty County, GA",31.532588,-84.20904,GA
LAUCN130990000000003,13099,13099,b13099,6.1,7.9,#N/A,#N/A,#N/A,#N/A,7.1,#N/A,#N/A,"Early County, GA",31.324191,-84.906723,GA
LAUCN131010000000003,13101,13101,b13101,3.644,5.8,#N/A,#N/A,#N/A,#N/A,4.644,#N/A,#N/A,"Echols County, GA",30.7085,-82.836132,GA
LAUCN131030000000003,13103,13103,b13103,4.036,5.7,#N/A,#N/A,#N/A,#N/A,5.036,#N/A,#N/A,"Effingham County, GA",32.361711,-81.343337,GA
LAUCN131070000000003,13107,13107,b13107,6.216,9.3,#N/A,#N/A,#N/A,#N/A,7.216,#N/A,#N/A,"Emanuel County, GA",32.5911,-82.299763,GA
LAUCN131110000000003,13111,13111,b13111,4.944,6.6,#N/A,#N/A,#N/A,#N/A,5.944,#N/A,#N/A,"Fannin County, GA",34.866543,-84.317331,GA
LAUCN131150000000003,13115,13115,b13115,5.544,7.6,#N/A,#N/A,#N/A,#N/A,6.544,#N/A,#N/A,"Floyd County, GA",34.263677,-85.21373,GA
LAUCN131230000000003,13123,13123,b13123,4.668,6.4,#N/A,#N/A,#N/A,#N/A,5.668,#N/A,#N/A,"Gilmer County, GA",34.690495,-84.454651,GA
LAUCN131270000000003,13127,13127,b13127,4.292,6.5,#N/A,#N/A,#N/A,#N/A,5.292,#N/A,#N/A,"Glynn County, GA",31.212746,-81.496517,GA
LAUCN131310000000003,13131,13131,b13131,4.968,7,#N/A,#N/A,#N/A,#N/A,5.968,#N/A,#N/A,"Grady County, GA",30.875891,-84.245066,GA
LAUCN131330000000003,13133,13133,b13133,6.032,7.4,#N/A,#N/A,#N/A,#N/A,7.032,#N/A,#N/A,"Greene County, GA",33.57674,-83.166613,GA
LAUCN131450000000003,13145,13145,b13145,4.1,5.9,#N/A,#N/A,#N/A,#N/A,5.1,#N/A,#N/A,"Harris County, GA",32.731549,-84.912432,GA
LAUCN131530000000003,13153,13153,b13153,4.52,6.6,#N/A,#N/A,#N/A,#N/A,5.52,#N/A,#N/A,"Houston County, GA",32.458381,-83.662856,GA
LAUCN131710000000003,13171,13171,b13171,6.14,8.3,#N/A,#N/A,#N/A,#N/A,7.14,#N/A,#N/A,"Lamar County, GA",33.07446,-84.146721,GA
LAUCN131730000000003,13173,13173,b13173,4.712,7.4,#N/A,#N/A,#N/A,#N/A,5.712,#N/A,#N/A,"Lanier County, GA",31.038197,-83.063164,GA
LAUCN131750000000003,13175,13175,b13175,6.028,8.4,#N/A,#N/A,#N/A,#N/A,7.028,#N/A,#N/A,"Laurens County, GA",32.39322,-82.926317,GA
LAUCN131770000000003,13177,13177,b13177,4.052,6.1,#N/A,#N/A,#N/A,#N/A,5.052,#N/A,#N/A,"Lee County, GA",31.818419,-84.146681,GA
LAUCN131830000000003,13183,13183,b13183,4.036,6.6,#N/A,#N/A,#N/A,#N/A,5.036,#N/A,#N/A,"Long County, GA",31.749563,-81.74287,GA
LAUCN131850000000003,13185,13185,b13185,4.616,6.9,#N/A,#N/A,#N/A,#N/A,5.616,#N/A,#N/A,"Lowndes County, GA",30.833127,-83.268992,GA
LAUCN131890000000003,13189,13189,b13189,7.036,9.1,#N/A,#N/A,#N/A,#N/A,8.036,#N/A,#N/A,"McDuffie County, GA",33.482464,-82.473188,GA
LAUCN131910000000003,13191,13191,b13191,4.968,7.3,#N/A,#N/A,#N/A,#N/A,5.968,#N/A,#N/A,"McIntosh County, GA",31.488592,-81.37246,GA
LAUCN131930000000003,13193,13193,b13193,7.812,9.5,#N/A,#N/A,#N/A,#N/A,8.812,#N/A,#N/A,"Macon County, GA",32.362686,-84.051231,GA
LAUCN131950000000003,13195,13195,b13195,4.42,6,#N/A,#N/A,#N/A,#N/A,5.42,#N/A,#N/A,"Madison County, GA",34.128526,-83.203737,GA
LAUCN131970000000003,13197,13197,b13197,5.408,9.7,#N/A,#N/A,#N/A,#N/A,6.408,#N/A,#N/A,"Marion County, GA",32.359538,-84.529561,GA
LAUCN132090000000003,13209,13209,b13209,5.904,9.4,#N/A,#N/A,#N/A,#N/A,6.904,#N/A,#N/A,"Montgomery County, GA",32.172108,-82.533349,GA
LAUCN132130000000003,13213,13213,b13213,5.928,8.1,#N/A,#N/A,#N/A,#N/A,6.928,#N/A,#N/A,"Murray County, GA",34.797097,-84.73799,GA
LAUCN132150000000003,13215,13215,b13215,5.672,7.9,#N/A,#N/A,#N/A,#N/A,6.672,#N/A,#N/A,"Muscogee County, GA",32.510197,-84.874946,GA
LAUCN132250000000003,13225,13225,b13225,6.216,8.6,#N/A,#N/A,#N/A,#N/A,7.216,#N/A,#N/A,"Peach County, GA",32.571324,-83.831978,GA
LAUCN132290000000003,13229,13229,b13229,4.624,7,#N/A,#N/A,#N/A,#N/A,5.624,#N/A,#N/A,"Pierce County, GA",31.353988,-82.210427,GA
LAUCN132330000000003,13233,13233,b13233,5.344,7.2,#N/A,#N/A,#N/A,#N/A,6.344,#N/A,#N/A,"Polk County, GA",33.996015,-85.188338,GA
LAUCN132350000000003,13235,13235,b13235,4.616,7.6,#N/A,#N/A,#N/A,#N/A,5.616,#N/A,#N/A,"Pulaski County, GA",32.238794,-83.481855,GA
LAUCN132370000000003,13237,13237,b13237,5.648,8.8,#N/A,#N/A,#N/A,#N/A,6.648,#N/A,#N/A,"Putnam County, GA",33.32106,-83.37179,GA
LAUCN132510000000003,13251,13251,b13251,6.276,9.5,#N/A,#N/A,#N/A,#N/A,7.276,#N/A,#N/A,"Screven County, GA",32.744751,-81.617585,GA
LAUCN132530000000003,13253,13253,b13253,6.352,8.7,#N/A,#N/A,#N/A,#N/A,7.352,#N/A,#N/A,"Seminole County, GA",30.933894,-84.867592,GA
LAUCN132570000000003,13257,13257,b13257,5.492,7,#N/A,#N/A,#N/A,#N/A,6.492,#N/A,#N/A,"Stephens County, GA",34.552914,-83.290216,GA
LAUCN132690000000003,13269,13269,b13269,6.628,9.7,#N/A,#N/A,#N/A,#N/A,7.628,#N/A,#N/A,"Taylor County, GA",32.554667,-84.251426,GA
LAUCN132730000000003,13273,13273,b13273,6.256,8.4,#N/A,#N/A,#N/A,#N/A,7.256,#N/A,#N/A,"Terrell County, GA",31.777191,-84.439446,GA
LAUCN132750000000003,13275,13275,b13275,4.908,8.3,#N/A,#N/A,#N/A,#N/A,5.908,#N/A,#N/A,"Thomas County, GA",30.864606,-83.91982,GA
LAUCN132790000000003,13279,13279,b13279,5.896,9.2,#N/A,#N/A,#N/A,#N/A,6.896,#N/A,#N/A,"Toombs County, GA",32.126698,-82.332071,GA
LAUCN132810000000003,13281,13281,b13281,4.772,8.1,#N/A,#N/A,#N/A,#N/A,5.772,#N/A,#N/A,"Towns County, GA",34.902529,-83.732264,GA
LAUCN132830000000003,13283,13283,b13283,7.092,9.3,#N/A,#N/A,#N/A,#N/A,8.092,#N/A,#N/A,"Treutlen County, GA",32.409586,-82.570882,GA
LAUCN132890000000003,13289,13289,b13289,6.244,10,#N/A,#N/A,#N/A,#N/A,7.244,#N/A,#N/A,"Twiggs County, GA",32.665847,-83.425879,GA
LAUCN133070000000003,13307,13307,b13307,4.816,10.9,#N/A,#N/A,#N/A,#N/A,5.816,#N/A,#N/A,"Webster County, GA",32.046691,-84.553828,GA
LAUCN133090000000003,13309,13309,b13309,6.06,11.8,#N/A,#N/A,#N/A,#N/A,7.06,#N/A,#N/A,"Wheeler County, GA",32.105268,-82.733865,GA
LAUCN133190000000003,13319,13319,b13319,6.108,8.2,#N/A,#N/A,#N/A,#N/A,7.108,#N/A,#N/A,"Wilkinson County, GA",32.804266,-83.175512,GA
LAUCN180890000000003,18089,18089,b18089,5.672,6.7,#N/A,#N/A,#N/A,#N/A,6.672,#N/A,#N/A,"Lake County, IN",41.472247,-87.374337,IN
LAUCN200610000000003,20061,20061,b20061,4.544,7.6,#N/A,#N/A,#N/A,#N/A,5.544,#N/A,#N/A,"Geary County, KS",39.002156,-96.768037,KS
LAUCN201330000000003,20133,20133,b20133,4.496,8.9,#N/A,#N/A,#N/A,#N/A,5.496,#N/A,#N/A,"Neosho County, KS",37.564283,-95.315683,KS
LAUCN202050000000003,20205,20205,b20205,4.612,7.7,#N/A,#N/A,#N/A,#N/A,5.612,#N/A,#N/A,"Wilson County, KS",37.558515,-95.745175,KS
LAUCN210250000000003,21025,21025,b21025,7.124,9.4,#N/A,#N/A,#N/A,#N/A,8.124,#N/A,#N/A,"Breathitt County, KY",37.506632,-83.28304,KY
LAUCN210530000000003,21053,21053,b21053,5.82,9.8,#N/A,#N/A,#N/A,#N/A,6.82,#N/A,#N/A,"Clinton County, KY",36.728865,-85.153426,KY
LAUCN210710000000003,21071,21071,b21071,6.58,9.1,#N/A,#N/A,#N/A,#N/A,7.58,#N/A,#N/A,"Floyd County, KY",37.559878,-82.743361,KY
LAUCN210890000000003,21089,21089,b21089,5.812,7.8,#N/A,#N/A,#N/A,#N/A,6.812,#N/A,#N/A,"Greenup County, KY",38.563562,-82.93382,KY
LAUCN210950000000003,21095,21095,b21095,8.912,12,#N/A,#N/A,#N/A,#N/A,9.912,#N/A,#N/A,"Harlan County, KY",36.859223,-83.221497,KY
LAUCN211190000000003,21119,21119,b21119,6.808,10.1,#N/A,#N/A,#N/A,#N/A,7.808,#N/A,#N/A,"Knott County, KY",37.359724,-82.945724,KY
LAUCN211310000000003,21131,21131,b21131,8.48,11.1,#N/A,#N/A,#N/A,#N/A,9.48,#N/A,#N/A,"Leslie County, KY",37.087846,-83.388617,KY
LAUCN211330000000003,21133,21133,b21133,7.156,10.8,#N/A,#N/A,#N/A,#N/A,8.156,#N/A,#N/A,"Letcher County, KY",37.118536,-82.861251,KY
LAUCN240010000000003,24001,24001,b24001,5.36,7,#N/A,#N/A,#N/A,#N/A,6.36,#N/A,#N/A,"Allegany County, MD",39.612313,-78.703104,MD
LAUCN240030000000003,24003,24003,b24003,3.348,4.8,#N/A,#N/A,#N/A,#N/A,4.348,#N/A,#N/A,"Anne Arundel County, MD",38.993579,-76.560484,MD
LAUCN240050000000003,24005,24005,b24005,3.936,5.8,#N/A,#N/A,#N/A,#N/A,4.936,#N/A,#N/A,"Baltimore County, MD",39.443167,-76.616569,MD
LAUCN240090000000003,24009,24009,b24009,3.104,5.1,#N/A,#N/A,#N/A,#N/A,4.104,#N/A,#N/A,"Calvert County, MD",38.52261,-76.529494,MD
LAUCN240130000000003,24013,24013,b24013,3.272,4.6,#N/A,#N/A,#N/A,#N/A,4.272,#N/A,#N/A,"Carroll County, MD",39.563318,-77.015353,MD
LAUCN240150000000003,24015,24015,b24015,4.42,6.3,#N/A,#N/A,#N/A,#N/A,5.42,#N/A,#N/A,"Cecil County, MD",39.562354,-75.941585,MD
LAUCN240170000000003,24017,24017,b24017,3.22,5.5,#N/A,#N/A,#N/A,#N/A,4.22,#N/A,#N/A,"Charles County, MD",38.472853,-77.015427,MD
LAUCN240190000000003,24019,24019,b24019,6.22,7,#N/A,#N/A,#N/A,#N/A,7.22,#N/A,#N/A,"Dorchester County, MD",38.429196,-76.047433,MD
LAUCN240210000000003,24021,24021,b24021,3.22,4.7,#N/A,#N/A,#N/A,#N/A,4.22,#N/A,#N/A,"Frederick County, MD",39.470429,-77.397624,MD
LAUCN240230000000003,24023,24023,b24023,4.6,5.9,#N/A,#N/A,#N/A,#N/A,5.6,#N/A,#N/A,"Garrett County, MD",39.547299,-79.274619,MD
LAUCN240250000000003,24025,24025,b24025,3.688,5.4,#N/A,#N/A,#N/A,#N/A,4.688,#N/A,#N/A,"Harford County, MD",39.537429,-76.299789,MD
LAUCN240270000000003,24027,24027,b24027,2.784,4.3,#N/A,#N/A,#N/A,#N/A,3.784,#N/A,#N/A,"Howard County, MD",39.252264,-76.924406,MD
LAUCN240290000000003,24029,24029,b24029,4.1,5.5,#N/A,#N/A,#N/A,#N/A,5.1,#N/A,#N/A,"Kent County, MD",39.241279,-76.125987,MD
LAUCN240310000000003,24031,24031,b24031,2.88,4.1,#N/A,#N/A,#N/A,#N/A,3.88,#N/A,#N/A,"Montgomery County, MD",39.137381,-77.203063,MD
LAUCN240330000000003,24033,24033,b24033,3.94,5.5,#N/A,#N/A,#N/A,#N/A,4.94,#N/A,#N/A,"Prince George's County, MD",38.82588,-76.847272,MD
LAUCN240350000000003,24035,24035,b24035,3.528,4.7,#N/A,#N/A,#N/A,#N/A,4.528,#N/A,#N/A,"Queen Anne's County, MD",39.040693,-76.082405,MD
LAUCN240370000000003,24037,24037,b24037,3.252,5.6,#N/A,#N/A,#N/A,#N/A,4.252,#N/A,#N/A,"St. Mary's County, MD",38.220289,-76.530384,MD
LAUCN240390000000003,24039,24039,b24039,5.812,7.9,#N/A,#N/A,#N/A,#N/A,6.812,#N/A,#N/A,"Somerset County, MD",38.07445,-75.853323,MD
LAUCN240410000000003,24041,24041,b24041,3.748,4.7,#N/A,#N/A,#N/A,#N/A,4.748,#N/A,#N/A,"Talbot County, MD",38.748352,-76.17848,MD
LAUCN240450000000003,24045,24045,b24045,4.496,6.3,#N/A,#N/A,#N/A,#N/A,5.496,#N/A,#N/A,"Wicomico County, MD",38.367116,-75.631964,MD
LAUCN245100000000003,24510,24510,b24510,5.984,8.2,#N/A,#N/A,#N/A,#N/A,6.984,#N/A,#N/A,"Baltimore city, MD",39.300032,-76.610476,MD
LAUCN280150000000003,28015,28015,b28015,6.656,8.2,#N/A,#N/A,#N/A,#N/A,7.656,#N/A,#N/A,"Carroll County, MS",33.440795,-89.918887,MS
LAUCN280210000000003,28021,28021,b28021,10.848,14.4,#N/A,#N/A,#N/A,#N/A,11.848,#N/A,#N/A,"Claiborne County, MS",31.97281,-90.915424,MS
LAUCN280270000000003,28027,28027,b28027,8.944,11.6,#N/A,#N/A,#N/A,#N/A,9.944,#N/A,#N/A,"Coahoma County, MS",34.22867,-90.603165,MS
LAUCN280530000000003,28053,28053,b28053,9.216,14.5,#N/A,#N/A,#N/A,#N/A,10.216,#N/A,#N/A,"Humphreys County, MS",33.130996,-90.523421,MS
LAUCN280550000000003,28055,28055,b28055,8.084,17.1,#N/A,#N/A,#N/A,#N/A,9.084,#N/A,#N/A,"Issaquena County, MS",32.755539,-91.003535,MS
LAUCN280590000000003,28059,28059,b28059,5.572,7.5,#N/A,#N/A,#N/A,#N/A,6.572,#N/A,#N/A,"Jackson County, MS",30.456005,-88.625101,MS
LAUCN280650000000003,28065,28065,b28065,6.948,10.5,#N/A,#N/A,#N/A,#N/A,7.948,#N/A,#N/A,"Jefferson Davis County, MS",31.565606,-89.826517,MS
