series_id,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN010550000000003,5.184,6.7,#N/A,#N/A,0,-24108,6.184,2014M11_3moAve,71
LAUCN010570000000003,5.928,7.6,2014M12,#N/A,0,-24108,6.928,2014M11_3moAve,71
LAUCN010590000000003,5.972,7,2015M04,#N/A,0,-24108,6.972,2014M11_3moAve,71
LAUCN010610000000003,4.408,6.5,#N/A,#N/A,0,-24108,5.408,,-24108
LAUCN010630000000003,7.392,11.8,#N/A,#N/A,0,-24108,8.392,,-24108
LAUCN010650000000003,6.34,8.9,#N/A,#N/A,0,-24108,7.34,2015M04_3moAve,76
LAUCN010670000000003,6.488,7.3,2014M10,2014M12_3moAve,2014M12_3moAve,72,7.488,2013M05_3moAve,53
LAUCN010690000000003,4.088,6.9,#N/A,#N/A,0,-24108,5.088,,-24108
LAUCN010710000000003,5.308,7.4,#N/A,#N/A,0,-24108,6.308,2014M11_3moAve,71
LAUCN010730000000003,4.588,6.3,#N/A,#N/A,0,-24108,5.588,2014M12_3moAve,72
LAUCN010750000000003,7.08,7.1,2012M04,2012M11_3moAve,2012M11_3moAve,47,8.08,2011M12_3moAve,36
LAUCN010770000000003,5,7.8,#N/A,#N/A,0,-24108,6,,-24108
LAUCN010790000000003,5.24,8.3,#N/A,#N/A,0,-24108,6.24,,-24108
LAUCN010810000000003,4.396,5.9,2014M12,#N/A,0,-24108,5.396,2014M10_3moAve,70
LAUCN010830000000003,4.004,5.9,#N/A,#N/A,0,-24108,5.004,,-24108
LAUCN010850000000003,9.14,13.2,#N/A,#N/A,0,-24108,10.14,,-24108
LAUCN010870000000003,6.38,9.6,#N/A,#N/A,0,-24108,7.38,2015M04_3moAve,76
LAUCN010890000000003,3.592,6.1,#N/A,#N/A,0,-24108,4.592,,-24108
LAUCN010910000000003,6.3,8.4,#N/A,#N/A,0,-24108,7.3,2014M11_3moAve,71
LAUCN010930000000003,6.552,7.8,2014M12,#N/A,0,-24108,7.552,2013M05_3moAve,53
LAUCN010950000000003,4.064,6.2,#N/A,#N/A,0,-24108,5.064,,-24108
LAUCN010970000000003,4.816,7.9,#N/A,#N/A,0,-24108,5.816,,-24108
LAUCN010990000000003,8.228,11.2,#N/A,#N/A,0,-24108,9.228,2015M04_3moAve,76
LAUCN011010000000003,4.976,6.8,#N/A,#N/A,0,-24108,5.976,2014M12_3moAve,72
LAUCN011030000000003,4.336,6.4,#N/A,#N/A,0,-24108,5.336,,-24108
LAUCN011050000000003,9.792,11.6,2014M12,2015M02_3moAve,2015M02_3moAve,74,10.792,2014M11_3moAve,71
LAUCN011070000000003,6.02,8.4,2015M04,#N/A,0,-24108,7.02,2014M11_3moAve,71
LAUCN011090000000003,4.436,7.3,#N/A,#N/A,0,-24108,5.436,,-24108
LAUCN011110000000003,6.16,6.6,2014M10,2014M11_3moAve,2014M11_3moAve,71,7.16,2013M05_3moAve,53
LAUCN011130000000003,6.98,6.6,2013M04,2013M11_3moAve,2013M11_3moAve,59,7.98,2013M04_3moAve,52
LAUCN011150000000003,4.168,5.7,#N/A,#N/A,0,-24108,5.168,2014M11_3moAve,71
LAUCN011170000000003,3.148,4.6,#N/A,#N/A,0,-24108,4.148,2014M11_3moAve,71
LAUCN011190000000003,7.596,9.3,2014M11,2014M12_3moAve,2014M12_3moAve,72,8.596,2013M05_3moAve,53
LAUCN011210000000003,6.168,7.3,2014M12,2015M04_3moAve,2015M04_3moAve,76,7.168,2014M10_3moAve,70
LAUCN011230000000003,6.2,6.8,2014M12,2014M12_3moAve,2014M12_3moAve,72,7.2,2014M10_3moAve,70
LAUCN011250000000003,3.968,6.4,#N/A,#N/A,0,-24108,4.968,2014M12_3moAve,72
LAUCN011270000000003,4.988,7.4,#N/A,#N/A,0,-24108,5.988,,-24108
LAUCN011290000000003,7.144,10.3,#N/A,#N/A,0,-24108,8.144,2014M12_3moAve,72
LAUCN011310000000003,11.712,16.2,#N/A,#N/A,0,-24108,12.712,,-24108
LAUCN011330000000003,7.1,8.2,2015M04,#N/A,0,-24108,8.1,2014M11_3moAve,71
LAUCN020130000000003,8.984,3.1,2009M01,2009M03_3moAve,2009M03_3moAve,3,9.984,2009M08_3moAve,8
LAUCN020160000000003,6.144,3.1,2009M01,2009M03_3moAve,2009M03_3moAve,3,7.144,2009M08_3moAve,8
LAUCN020200000000003,5.264,4.8,2012M07,2012M09_3moAve,2012M09_3moAve,45,6.264,2010M09_3moAve,21
LAUCN020500000000003,13.316,15.7,2009M10,2009M01_3moAve,2009M01_3moAve,1,14.316,2009M09_3moAve,9
LAUCN020600000000003,7.316,2.1,2009M05,2009M06_3moAve,2009M06_3moAve,6,8.316,2009M06_3moAve,6
LAUCN020680000000003,9.228,3.8,2009M05,2009M06_3moAve,2009M06_3moAve,6,10.228,2009M06_3moAve,6
LAUCN020700000000003,9.332,7.4,2009M07,2009M08_3moAve,2009M08_3moAve,8,10.332,2009M08_3moAve,8
LAUCN020900000000003,5.812,4.9,2010M08,2010M09_3moAve,2010M09_3moAve,21,6.812,2009M08_3moAve,8
LAUCN021000000000003,8.98,5.6,2009M05,2009M07_3moAve,2009M07_3moAve,7,9.98,2009M06_3moAve,6
LAUCN021100000000003,4.66,4.3,2012M07,2012M09_3moAve,2012M09_3moAve,45,5.66,2009M07_3moAve,7
LAUCN021220000000003,8.084,6.5,2010M08,2011M08_3moAve,2011M08_3moAve,32,9.084,2009M07_3moAve,7
LAUCN021300000000003,5.912,5.2,2009M07,2009M07_3moAve,2009M07_3moAve,7,6.912,2009M06_3moAve,6
LAUCN021500000000003,6.576,4.4,2009M01,2009M03_3moAve,2009M03_3moAve,3,7.576,2009M05_3moAve,5
LAUCN021640000000003,6.404,8.5,2009M07,2009M08_3moAve,2009M08_3moAve,8,7.404,2009M07_3moAve,7
LAUCN021700000000003,7.376,7.4,2013M08,2013M09_3moAve,2013M09_3moAve,57,8.376,2009M09_3moAve,9
LAUCN021800000000003,10.792,12.9,2009M10,2009M01_3moAve,2009M01_3moAve,1,11.792,2009M10_3moAve,10
LAUCN021850000000003,4.856,5.8,2009M01,2009M01_3moAve,2009M01_3moAve,1,5.856,2009M05_3moAve,5
LAUCN021880000000003,11.204,16.5,2009M01,2009M01_3moAve,2009M01_3moAve,1,12.204,2009M09_3moAve,9
LAUCN022400000000003,8.784,9.9,2009M07,2009M08_3moAve,2009M08_3moAve,8,9.784,2009M06_3moAve,6
LAUCN022610000000003,8.744,6,2009M05,2009M06_3moAve,2009M06_3moAve,6,9.744,2009M05_3moAve,5
LAUCN022700000000003,20.572,26.9,2009M01,2009M01_3moAve,2009M01_3moAve,1,21.572,2009M09_3moAve,9
LAUCN022820000000003,7.468,7.2,2010M08,2010M09_3moAve,2010M09_3moAve,21,8.468,2009M08_3moAve,8
LAUCN022900000000003,13.948,16.5,2009M05,2009M07_3moAve,2009M07_3moAve,7,14.948,2009M06_3moAve,6
LAUCN040010000000003,10.116,14.8,#N/A,#N/A,0,-24108,11.116,,-24108
LAUCN040030000000003,4.928,7.9,#N/A,#N/A,0,-24108,5.928,,-24108
LAUCN040050000000003,4.62,7.2,#N/A,#N/A,0,-24108,5.62,,-24108
LAUCN040070000000003,5.336,8.5,#N/A,#N/A,0,-24108,6.336,,-24108
LAUCN040090000000003,5.62,8,#N/A,#N/A,0,-24108,6.62,2015M05_3moAve,77
LAUCN040110000000003,4.228,8.1,#N/A,#N/A,0,-24108,5.228,2013M11_3moAve,59
LAUCN040120000000003,6.372,7.8,#N/A,#N/A,0,-24108,7.372,2015M05_3moAve,77
LAUCN040130000000003,4.272,5.7,#N/A,#N/A,0,-24108,5.272,2015M03_3moAve,75
LAUCN040150000000003,6.112,8.7,#N/A,#N/A,0,-24108,7.112,,-24108
LAUCN040170000000003,8.192,10.5,#N/A,#N/A,0,-24108,9.192,2015M05_3moAve,77
LAUCN040190000000003,4.704,6.2,#N/A,#N/A,0,-24108,5.704,2015M03_3moAve,75
LAUCN040210000000003,5.916,6.9,2015M03,2015M05_3moAve,2015M05_3moAve,77,6.916,2014M11_3moAve,71
LAUCN040230000000003,9.116,14.2,2015M05,#N/A,0,-24108,10.116,2015M04_3moAve,76
LAUCN040250000000003,4.88,6,2015M05,#N/A,0,-24108,5.88,2014M12_3moAve,72
LAUCN040270000000003,16.02,26.6,2009M02,#N/A,0,-24108,17.02,,-24108
LAUCN050010000000003,9.232,4.9,2012M03,2012M04_3moAve,2012M04_3moAve,40,10.232,2012M03_3moAve,39
LAUCN050030000000003,7.88,9,2014M10,#N/A,0,-24108,8.88,2014M10_3moAve,70
LAUCN050050000000003,5.716,6.3,#N/A,#N/A,0,-24108,6.716,2014M06_3moAve,66
LAUCN050070000000003,3.94,4.4,#N/A,#N/A,0,-24108,4.94,2014M04_3moAve,64
LAUCN050090000000003,5.268,5.8,#N/A,#N/A,0,-24108,6.268,2014M05_3moAve,65
LAUCN050110000000003,6.644,7.1,2015M05,2015M06_3moAve,2015M06_3moAve,78,7.644,2014M11_3moAve,71
LAUCN050130000000003,6.46,6.7,2009M09,2014M10_3moAve,2014M10_3moAve,70,7.46,2009M09_3moAve,9
LAUCN050150000000003,4.432,4.5,2014M08,2014M10_3moAve,2014M10_3moAve,70,5.432,2009M09_3moAve,9
LAUCN050170000000003,8.28,10.1,#N/A,#N/A,0,-24108,9.28,,-24108
LAUCN050190000000003,5.768,6.6,2014M10,2014M12_3moAve,2014M12_3moAve,72,6.768,2014M10_3moAve,70
LAUCN050210000000003,8.688,7.7,2013M10,2014M05_3moAve,2014M05_3moAve,65,9.688,2013M09_3moAve,57
LAUCN050230000000003,5.88,7.8,#N/A,#N/A,0,-24108,6.88,2009M10_3moAve,10
LAUCN050250000000003,5.788,6.5,#N/A,#N/A,0,-24108,6.788,2014M10_3moAve,70
LAUCN050270000000003,6.74,7.7,2014M04,2014M11_3moAve,2014M11_3moAve,71,7.74,2014M04_3moAve,64
LAUCN050290000000003,5.184,6.9,#N/A,#N/A,0,-24108,6.184,2014M11_3moAve,71
LAUCN050310000000003,4.944,5,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.944,2014M04_3moAve,64
LAUCN050330000000003,4.876,5.9,#N/A,#N/A,0,-24108,5.876,2014M10_3moAve,70
LAUCN050350000000003,7.188,7,2014M04,2014M06_3moAve,2014M06_3moAve,66,8.188,2013M10_3moAve,58
LAUCN050370000000003,7.124,6.3,2013M10,2013M11_3moAve,2013M11_3moAve,59,8.124,2009M06_3moAve,6
LAUCN050390000000003,7.132,8.2,#N/A,#N/A,0,-24108,8.132,2015M06_3moAve,78
LAUCN050410000000003,9.372,8.7,2010M10,2012M10_3moAve,2012M10_3moAve,46,10.372,2010M10_3moAve,22
LAUCN050430000000003,7.656,8,2014M10,2014M11_3moAve,2014M11_3moAve,71,8.656,2014M05_3moAve,65
LAUCN050450000000003,4.56,5.3,#N/A,#N/A,0,-24108,5.56,2014M09_3moAve,69
LAUCN050470000000003,4.46,6,#N/A,#N/A,0,-24108,5.46,2014M10_3moAve,70
LAUCN050490000000003,5.108,6.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,6.108,2014M05_3moAve,65
LAUCN050510000000003,5.564,6,#N/A,#N/A,0,-24108,6.564,2014M05_3moAve,65
LAUCN050530000000003,5.084,5.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,6.084,2014M04_3moAve,64
LAUCN050550000000003,6.536,6.2,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.536,2013M11_3moAve,59
LAUCN050570000000003,5.852,6,2014M04,2014M06_3moAve,2014M06_3moAve,66,6.852,2012M06_3moAve,42
LAUCN050590000000003,5.936,6,2014M04,2014M05_3moAve,2014M05_3moAve,65,6.936,2012M05_3moAve,41
LAUCN050610000000003,5.492,5.6,2013M11,2014M05_3moAve,2014M05_3moAve,65,6.492,2012M06_3moAve,42
LAUCN050630000000003,6.568,7.5,2015M04,#N/A,0,-24108,7.568,2014M10_3moAve,70
LAUCN050650000000003,6.288,7.7,2014M10,#N/A,0,-24108,7.288,2014M05_3moAve,65
LAUCN050670000000003,7.648,8.7,#N/A,#N/A,0,-24108,8.648,2014M10_3moAve,70
LAUCN050690000000003,7.56,8.7,2014M10,2014M12_3moAve,2014M12_3moAve,72,8.56,2014M10_3moAve,70
LAUCN050710000000003,4.776,7.5,#N/A,#N/A,0,-24108,5.776,2014M12_3moAve,72
LAUCN050730000000003,7.288,9.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,8.288,2014M05_3moAve,65
LAUCN050750000000003,6.98,7.3,2014M04,2014M10_3moAve,2014M10_3moAve,70,7.98,2013M11_3moAve,59
LAUCN050770000000003,8.976,8.1,2009M04,2009M05_3moAve,2009M05_3moAve,5,9.976,2009M05_3moAve,5
LAUCN050790000000003,7.948,7.3,2014M03,2014M04_3moAve,2014M04_3moAve,64,8.948,2010M06_3moAve,18
LAUCN050810000000003,4.052,6.3,#N/A,#N/A,0,-24108,5.052,,-24108
LAUCN050830000000003,5.74,7.1,2014M04,2014M10_3moAve,2014M10_3moAve,70,6.74,2014M04_3moAve,64
LAUCN050850000000003,4.424,4.7,#N/A,#N/A,0,-24108,5.424,2014M05_3moAve,65
LAUCN050870000000003,4.236,4.4,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.236,2012M12_3moAve,48
LAUCN050890000000003,5.824,5.9,2014M09,2014M11_3moAve,2014M11_3moAve,71,6.824,2014M05_3moAve,65
LAUCN050910000000003,4.264,5.8,#N/A,#N/A,0,-24108,5.264,,-24108
LAUCN050930000000003,7.48,10.8,2014M10,#N/A,0,-24108,8.48,2014M10_3moAve,70
LAUCN050950000000003,6.576,7.1,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.576,2009M05_3moAve,5
LAUCN050970000000003,5.484,7,#N/A,#N/A,0,-24108,6.484,2009M08_3moAve,8
LAUCN050990000000003,6.22,6.1,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.22,2013M11_3moAve,59
LAUCN051010000000003,5.376,6.3,2014M04,2015M06_3moAve,2015M06_3moAve,78,6.376,2014M04_3moAve,64
LAUCN051030000000003,6.844,7.3,2014M10,2014M12_3moAve,2014M12_3moAve,72,7.844,2009M05_3moAve,5
LAUCN051050000000003,5.2,6.7,#N/A,#N/A,0,-24108,6.2,,-24108
LAUCN051070000000003,7.232,8.8,#N/A,#N/A,0,-24108,8.232,2014M11_3moAve,71
LAUCN051090000000003,5.848,7.4,#N/A,#N/A,0,-24108,6.848,2014M10_3moAve,70
LAUCN051110000000003,6.836,6.1,2014M04,2014M06_3moAve,2014M06_3moAve,66,7.836,2014M04_3moAve,64
LAUCN051130000000003,5.04,6.5,#N/A,#N/A,0,-24108,6.04,2014M11_3moAve,71
LAUCN051150000000003,4.836,6.5,#N/A,#N/A,0,-24108,5.836,2014M11_3moAve,71
LAUCN051170000000003,5.716,5.5,2014M04,2014M10_3moAve,2014M10_3moAve,70,6.716,2013M12_3moAve,60
LAUCN051190000000003,4.74,5.2,#N/A,#N/A,0,-24108,5.74,2014M05_3moAve,65
LAUCN051210000000003,8.748,7.5,2009M04,2009M09_3moAve,2009M09_3moAve,9,9.748,2009M05_3moAve,5
LAUCN051230000000003,9.512,8.7,2014M04,2014M05_3moAve,2014M05_3moAve,65,10.512,2009M05_3moAve,5
LAUCN051250000000003,4.312,4.6,#N/A,#N/A,0,-24108,5.312,2014M04_3moAve,64
LAUCN051270000000003,4.688,5.8,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.688,2014M04_3moAve,64
LAUCN051290000000003,5.14,6.5,#N/A,#N/A,0,-24108,6.14,2014M06_3moAve,66
LAUCN051310000000003,5.052,5.4,2014M10,2014M12_3moAve,2014M12_3moAve,72,6.052,2014M05_3moAve,65
LAUCN051330000000003,4.1,6.6,#N/A,#N/A,0,-24108,5.1,,-24108
LAUCN051350000000003,7.12,7.7,#N/A,#N/A,0,-24108,8.12,2014M10_3moAve,70
LAUCN051370000000003,6.124,6.9,#N/A,#N/A,0,-24108,7.124,2010M07_3moAve,19
LAUCN051390000000003,6.604,7.5,#N/A,#N/A,0,-24108,7.604,2014M05_3moAve,65
LAUCN051410000000003,6.26,7.7,#N/A,#N/A,0,-24108,7.26,2014M10_3moAve,70
LAUCN051430000000003,4.036,4.1,2014M09,2014M10_3moAve,2014M10_3moAve,70,5.036,2013M11_3moAve,59
LAUCN051450000000003,6.288,7,2014M10,2014M11_3moAve,2014M11_3moAve,71,7.288,2013M11_3moAve,59
LAUCN051470000000003,8.392,7.1,2014M04,2014M05_3moAve,2014M05_3moAve,65,9.392,2010M09_3moAve,21
LAUCN051490000000003,4.412,6.2,#N/A,#N/A,0,-24108,5.412,2014M10_3moAve,70
LAUCN060010000000003,5.424,5,2014M12,2014M12_3moAve,2014M12_3moAve,72,6.424,2014M04_3moAve,64
LAUCN060030000000003,9.504,9.2,2009M01,2012M04_3moAve,2012M04_3moAve,40,10.504,2010M03_3moAve,15
LAUCN060050000000003,6.712,6.5,2015M04,2015M05_3moAve,2015M05_3moAve,77,7.712,2014M10_3moAve,70
LAUCN060070000000003,7.516,7.5,2014M09,2015M04_3moAve,2015M04_3moAve,76,8.516,2014M06_3moAve,66
LAUCN060090000000003,7.512,6.7,2014M09,2014M10_3moAve,2014M10_3moAve,70,8.512,2014M05_3moAve,65
LAUCN060110000000003,12.884,11.8,2009M09,2014M09_3moAve,2014M09_3moAve,69,13.884,2009M09_3moAve,9
LAUCN060130000000003,5.432,5.2,2014M12,2015M02_3moAve,2015M02_3moAve,74,6.432,2014M05_3moAve,65
LAUCN060150000000003,8.152,8.7,2015M05,#N/A,0,-24108,9.152,2015M04_3moAve,76
LAUCN060170000000003,6.052,5.7,2015M03,2015M04_3moAve,2015M04_3moAve,76,7.052,2014M06_3moAve,66
LAUCN060190000000003,9.52,9.6,2015M06,#N/A,0,-24108,10.52,2014M09_3moAve,69
LAUCN060210000000003,9.628,9.2,2014M09,2014M10_3moAve,2014M10_3moAve,70,10.628,2013M11_3moAve,59
LAUCN060230000000003,6.572,6,2014M05,2014M06_3moAve,2014M06_3moAve,66,7.572,2013M11_3moAve,59
LAUCN060250000000003,20.124,24.2,#N/A,#N/A,0,-24108,21.124,2014M02_3moAve,62
LAUCN060270000000003,5.736,5.8,2015M04,2015M06_3moAve,2015M06_3moAve,78,6.736,2014M06_3moAve,66
LAUCN060290000000003,8.968,10,2014M09,#N/A,0,-24108,9.968,2014M09_3moAve,69
LAUCN060310000000003,9.604,9.8,2014M09,#N/A,0,-24108,10.604,2014M09_3moAve,69
LAUCN060330000000003,9.516,7.2,2014M04,2014M05_3moAve,2014M05_3moAve,65,10.516,2013M07_3moAve,55
LAUCN060350000000003,8.844,6.9,2013M09,2014M07_3moAve,2014M07_3moAve,67,9.844,2013M09_3moAve,57
LAUCN060370000000003,6.3,7.5,#N/A,#N/A,0,-24108,7.3,2015M05_3moAve,77
LAUCN060390000000003,8.46,9.9,#N/A,#N/A,0,-24108,9.46,2014M10_3moAve,70
LAUCN060410000000003,4.164,3.7,2014M04,2014M06_3moAve,2014M06_3moAve,66,5.164,2013M05_3moAve,53
LAUCN060430000000003,6.808,5.7,2014M09,2015M06_3moAve,2015M06_3moAve,78,7.808,2014M07_3moAve,67
LAUCN060450000000003,6.172,5.5,2014M09,2014M10_3moAve,2014M10_3moAve,70,7.172,2014M05_3moAve,65
LAUCN060470000000003,11.308,10.8,2014M08,2014M09_3moAve,2014M09_3moAve,69,12.308,2013M10_3moAve,58
LAUCN060490000000003,8.896,8.1,2014M09,2014M09_3moAve,2014M09_3moAve,69,9.896,2014M06_3moAve,66
LAUCN060510000000003,5.388,6.1,#N/A,#N/A,0,-24108,6.388,2015M02_3moAve,74
LAUCN060530000000003,7.852,6.4,2013M09,2014M07_3moAve,2014M07_3moAve,67,8.852,2013M07_3moAve,55
LAUCN060550000000003,4.556,4.4,2015M04,2015M05_3moAve,2015M05_3moAve,77,5.556,2014M05_3moAve,65
LAUCN060570000000003,5.664,5.6,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.664,2014M06_3moAve,66
LAUCN060590000000003,4.572,4.7,2015M03,2015M04_3moAve,2015M04_3moAve,76,5.572,2014M05_3moAve,65
LAUCN060610000000003,5.592,5.2,2014M12,2015M02_3moAve,2015M02_3moAve,74,6.592,2014M05_3moAve,65
LAUCN060630000000003,9.64,8.2,2014M06,2014M08_3moAve,2014M08_3moAve,68,10.64,2014M07_3moAve,67
LAUCN060650000000003,7.252,7.3,2014M12,2015M02_3moAve,2015M02_3moAve,74,8.252,2014M05_3moAve,65
LAUCN060670000000003,6.3,6.2,2015M03,2015M04_3moAve,2015M04_3moAve,76,7.3,2014M06_3moAve,66
LAUCN060690000000003,8.392,7,2014M09,2014M10_3moAve,2014M10_3moAve,70,9.392,2014M06_3moAve,66
LAUCN060710000000003,6.772,6.9,2015M02,2015M03_3moAve,2015M03_3moAve,75,7.772,2014M11_3moAve,71
LAUCN060730000000003,5.256,5.4,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.256,2014M06_3moAve,66
LAUCN060750000000003,4.728,3.8,2013M12,2014M04_3moAve,2014M04_3moAve,64,5.728,2013M04_3moAve,52
LAUCN060770000000003,9.216,8.9,2015M04,2015M05_3moAve,2015M05_3moAve,77,10.216,2014M09_3moAve,69
LAUCN060790000000003,5,4.9,2015M03,2015M04_3moAve,2015M04_3moAve,76,6,2014M04_3moAve,64
LAUCN060810000000003,4.328,3.6,2014M04,2014M05_3moAve,2014M05_3moAve,65,5.328,2013M05_3moAve,53
LAUCN060830000000003,4.896,5,2015M04,2015M05_3moAve,2015M05_3moAve,77,5.896,2014M05_3moAve,65
LAUCN060850000000003,5.324,4.3,2014M04,2014M05_3moAve,2014M05_3moAve,65,6.324,2013M11_3moAve,59
LAUCN060870000000003,6.632,6.5,2015M06,2015M07_3moAve,2015M07_3moAve,79,7.632,2014M08_3moAve,68
LAUCN060890000000003,8.736,7.8,2014M09,2014M10_3moAve,2014M10_3moAve,70,9.736,2014M06_3moAve,66
LAUCN060910000000003,9.268,7.2,2014M06,2014M07_3moAve,2014M07_3moAve,67,10.268,2013M10_3moAve,58
LAUCN060930000000003,9.344,8.7,2014M09,2014M10_3moAve,2014M10_3moAve,70,10.344,2014M06_3moAve,66
LAUCN060950000000003,6.052,6.2,2015M04,2015M05_3moAve,2015M05_3moAve,77,7.052,2014M10_3moAve,70
LAUCN060970000000003,5.024,4.6,2014M12,2015M03_3moAve,2015M03_3moAve,75,6.024,2014M04_3moAve,64
LAUCN060990000000003,9.836,9.4,2014M09,2015M05_3moAve,2015M05_3moAve,77,10.836,2014M08_3moAve,68
LAUCN061010000000003,10.976,9.7,2014M08,2014M09_3moAve,2014M09_3moAve,69,11.976,2014M08_3moAve,68
LAUCN061030000000003,8.196,8.4,2014M10,2015M05_3moAve,2015M05_3moAve,77,9.196,2014M10_3moAve,70
LAUCN061050000000003,11.604,7.9,2012M09,2013M07_3moAve,2013M07_3moAve,55,12.604,2012M09_3moAve,45
LAUCN061070000000003,10.012,11.7,#N/A,#N/A,0,-24108,11.012,,-24108
LAUCN061090000000003,7.076,7.1,2015M04,2015M05_3moAve,2015M05_3moAve,77,8.076,2014M10_3moAve,70
LAUCN061110000000003,5.568,5.9,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.568,2014M05_3moAve,65
LAUCN061130000000003,6.536,6.3,2015M04,2015M05_3moAve,2015M05_3moAve,77,7.536,2014M06_3moAve,66
LAUCN061150000000003,10.548,9.1,2014M08,2014M09_3moAve,2014M09_3moAve,69,11.548,2014M06_3moAve,66
LAUCN080010000000003,4.776,4.5,2014M09,2014M11_3moAve,2014M11_3moAve,71,5.776,2014M07_3moAve,67
LAUCN080030000000003,4.572,5.6,#N/A,#N/A,0,-24108,5.572,2009M11_3moAve,11
LAUCN080050000000003,4.304,3.9,2014M09,2014M10_3moAve,2014M10_3moAve,70,5.304,2014M05_3moAve,65
LAUCN080070000000003,4.42,3.9,2014M09,2014M10_3moAve,2014M10_3moAve,70,5.42,2014M08_3moAve,68
LAUCN080090000000003,2.936,2,2014M04,2014M06_3moAve,2014M06_3moAve,66,3.936,2009M05_3moAve,5
LAUCN080110000000003,5.504,4.3,2009M08,2009M10_3moAve,2009M10_3moAve,10,6.504,2009M08_3moAve,8
LAUCN080130000000003,3.7,3.3,2014M09,2014M10_3moAve,2014M10_3moAve,70,4.7,2014M05_3moAve,65
LAUCN080140000000003,4.004,3.5,2014M08,2014M09_3moAve,2014M09_3moAve,69,5.004,2014M05_3moAve,65
LAUCN080150000000003,4.032,3.2,2014M06,2014M07_3moAve,2014M07_3moAve,67,5.032,2014M05_3moAve,65
