series_id,FIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN050530000000003,CN0505300000000,5.084,5.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,6.084,2014M04_3moAve,64
LAUCN050550000000003,CN0505500000000,6.536,6.2,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.536,2013M11_3moAve,59
LAUCN050570000000003,CN0505700000000,5.852,6,2014M04,2014M06_3moAve,2014M06_3moAve,66,6.852,2012M06_3moAve,42
LAUCN050590000000003,CN0505900000000,5.936,6,2014M04,2014M05_3moAve,2014M05_3moAve,65,6.936,2012M05_3moAve,41
LAUCN050610000000003,CN0506100000000,5.492,5.6,2013M11,2014M05_3moAve,2014M05_3moAve,65,6.492,2012M06_3moAve,42
LAUCN050630000000003,CN0506300000000,6.568,7.5,2015M04,#N/A,0,-24108,7.568,2014M10_3moAve,70
LAUCN050650000000003,CN0506500000000,6.288,7.7,2014M10,#N/A,0,-24108,7.288,2014M05_3moAve,65
LAUCN050670000000003,CN0506700000000,7.648,8.7,#N/A,#N/A,0,-24108,8.648,2014M10_3moAve,70
LAUCN050690000000003,CN0506900000000,7.56,8.7,2014M10,2014M12_3moAve,2014M12_3moAve,72,8.56,2014M10_3moAve,70
LAUCN050710000000003,CN0507100000000,4.776,7.5,#N/A,#N/A,0,-24108,5.776,2014M12_3moAve,72
LAUCN050730000000003,CN0507300000000,7.288,9.1,2014M10,2014M11_3moAve,2014M11_3moAve,71,8.288,2014M05_3moAve,65
LAUCN050750000000003,CN0507500000000,6.98,7.3,2014M04,2014M10_3moAve,2014M10_3moAve,70,7.98,2013M11_3moAve,59
LAUCN050770000000003,CN0507700000000,8.976,8.1,2009M04,2009M05_3moAve,2009M05_3moAve,5,9.976,2009M05_3moAve,5
LAUCN050790000000003,CN0507900000000,7.948,7.3,2014M03,2014M04_3moAve,2014M04_3moAve,64,8.948,2010M06_3moAve,18
LAUCN050810000000003,CN0508100000000,4.052,6.3,#N/A,#N/A,0,-24108,5.052,,-24108
LAUCN050830000000003,CN0508300000000,5.74,7.1,2014M04,2014M10_3moAve,2014M10_3moAve,70,6.74,2014M04_3moAve,64
LAUCN050850000000003,CN0508500000000,4.424,4.7,#N/A,#N/A,0,-24108,5.424,2014M05_3moAve,65
LAUCN050870000000003,CN0508700000000,4.236,4.4,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.236,2012M12_3moAve,48
LAUCN050890000000003,CN0508900000000,5.824,5.9,2014M09,2014M11_3moAve,2014M11_3moAve,71,6.824,2014M05_3moAve,65
LAUCN050910000000003,CN0509100000000,4.264,5.8,#N/A,#N/A,0,-24108,5.264,,-24108
LAUCN050930000000003,CN0509300000000,7.48,10.8,2014M10,#N/A,0,-24108,8.48,2014M10_3moAve,70
LAUCN050950000000003,CN0509500000000,6.576,7.1,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.576,2009M05_3moAve,5
LAUCN050970000000003,CN0509700000000,5.484,7,#N/A,#N/A,0,-24108,6.484,2009M08_3moAve,8
LAUCN050990000000003,CN0509900000000,6.22,6.1,2014M04,2014M05_3moAve,2014M05_3moAve,65,7.22,2013M11_3moAve,59
LAUCN051010000000003,CN0510100000000,5.376,6.3,2014M04,2015M06_3moAve,2015M06_3moAve,78,6.376,2014M04_3moAve,64
LAUCN051030000000003,CN0510300000000,6.844,7.3,2014M10,2014M12_3moAve,2014M12_3moAve,72,7.844,2009M05_3moAve,5
LAUCN051050000000003,CN0510500000000,5.2,6.7,#N/A,#N/A,0,-24108,6.2,,-24108
LAUCN051070000000003,CN0510700000000,7.232,8.8,#N/A,#N/A,0,-24108,8.232,2014M11_3moAve,71
LAUCN051090000000003,CN0510900000000,5.848,7.4,#N/A,#N/A,0,-24108,6.848,2014M10_3moAve,70
LAUCN051110000000003,CN0511100000000,6.836,6.1,2014M04,2014M06_3moAve,2014M06_3moAve,66,7.836,2014M04_3moAve,64
LAUCN051130000000003,CN0511300000000,5.04,6.5,#N/A,#N/A,0,-24108,6.04,2014M11_3moAve,71
LAUCN051150000000003,CN0511500000000,4.836,6.5,#N/A,#N/A,0,-24108,5.836,2014M11_3moAve,71
LAUCN051170000000003,CN0511700000000,5.716,5.5,2014M04,2014M10_3moAve,2014M10_3moAve,70,6.716,2013M12_3moAve,60
LAUCN051190000000003,CN0511900000000,4.74,5.2,#N/A,#N/A,0,-24108,5.74,2014M05_3moAve,65
LAUCN051210000000003,CN0512100000000,8.748,7.5,2009M04,2009M09_3moAve,2009M09_3moAve,9,9.748,2009M05_3moAve,5
LAUCN051230000000003,CN0512300000000,9.512,8.7,2014M04,2014M05_3moAve,2014M05_3moAve,65,10.512,2009M05_3moAve,5
LAUCN051250000000003,CN0512500000000,4.312,4.6,#N/A,#N/A,0,-24108,5.312,2014M04_3moAve,64
LAUCN051270000000003,CN0512700000000,4.688,5.8,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.688,2014M04_3moAve,64
LAUCN051290000000003,CN0512900000000,5.14,6.5,#N/A,#N/A,0,-24108,6.14,2014M06_3moAve,66
LAUCN051310000000003,CN0513100000000,5.052,5.4,2014M10,2014M12_3moAve,2014M12_3moAve,72,6.052,2014M05_3moAve,65
LAUCN051330000000003,CN0513300000000,4.1,6.6,#N/A,#N/A,0,-24108,5.1,,-24108
LAUCN051350000000003,CN0513500000000,7.12,7.7,#N/A,#N/A,0,-24108,8.12,2014M10_3moAve,70
LAUCN051370000000003,CN0513700000000,6.124,6.9,#N/A,#N/A,0,-24108,7.124,2010M07_3moAve,19
LAUCN051390000000003,CN0513900000000,6.604,7.5,#N/A,#N/A,0,-24108,7.604,2014M05_3moAve,65
LAUCN051410000000003,CN0514100000000,6.26,7.7,#N/A,#N/A,0,-24108,7.26,2014M10_3moAve,70
LAUCN051430000000003,CN0514300000000,4.036,4.1,2014M09,2014M10_3moAve,2014M10_3moAve,70,5.036,2013M11_3moAve,59
LAUCN051450000000003,CN0514500000000,6.288,7,2014M10,2014M11_3moAve,2014M11_3moAve,71,7.288,2013M11_3moAve,59
LAUCN051470000000003,CN0514700000000,8.392,7.1,2014M04,2014M05_3moAve,2014M05_3moAve,65,9.392,2010M09_3moAve,21
LAUCN051490000000003,CN0514900000000,4.412,6.2,#N/A,#N/A,0,-24108,5.412,2014M10_3moAve,70
LAUCN060010000000003,CN0600100000000,5.424,5,2014M12,2014M12_3moAve,2014M12_3moAve,72,6.424,2014M04_3moAve,64
LAUCN060030000000003,CN0600300000000,9.504,9.2,2009M01,2012M04_3moAve,2012M04_3moAve,40,10.504,2010M03_3moAve,15
LAUCN060050000000003,CN0600500000000,6.712,6.5,2015M04,2015M05_3moAve,2015M05_3moAve,77,7.712,2014M10_3moAve,70
LAUCN060070000000003,CN0600700000000,7.516,7.5,2014M09,2015M04_3moAve,2015M04_3moAve,76,8.516,2014M06_3moAve,66
LAUCN060090000000003,CN0600900000000,7.512,6.7,2014M09,2014M10_3moAve,2014M10_3moAve,70,8.512,2014M05_3moAve,65
LAUCN060110000000003,CN0601100000000,12.884,11.8,2009M09,2014M09_3moAve,2014M09_3moAve,69,13.884,2009M09_3moAve,9
LAUCN060130000000003,CN0601300000000,5.432,5.2,2014M12,2015M02_3moAve,2015M02_3moAve,74,6.432,2014M05_3moAve,65
LAUCN060150000000003,CN0601500000000,8.152,8.7,2015M05,#N/A,0,-24108,9.152,2015M04_3moAve,76
LAUCN060170000000003,CN0601700000000,6.052,5.7,2015M03,2015M04_3moAve,2015M04_3moAve,76,7.052,2014M06_3moAve,66
LAUCN060190000000003,CN0601900000000,9.52,9.6,2015M06,#N/A,0,-24108,10.52,2014M09_3moAve,69
LAUCN060210000000003,CN0602100000000,9.628,9.2,2014M09,2014M10_3moAve,2014M10_3moAve,70,10.628,2013M11_3moAve,59
LAUCN060230000000003,CN0602300000000,6.572,6,2014M05,2014M06_3moAve,2014M06_3moAve,66,7.572,2013M11_3moAve,59
LAUCN060250000000003,CN0602500000000,20.124,24.2,#N/A,#N/A,0,-24108,21.124,2014M02_3moAve,62
LAUCN060270000000003,CN0602700000000,5.736,5.8,2015M04,2015M06_3moAve,2015M06_3moAve,78,6.736,2014M06_3moAve,66
LAUCN060290000000003,CN0602900000000,8.968,10,2014M09,#N/A,0,-24108,9.968,2014M09_3moAve,69
LAUCN060310000000003,CN0603100000000,9.604,9.8,2014M09,#N/A,0,-24108,10.604,2014M09_3moAve,69
LAUCN060330000000003,CN0603300000000,9.516,7.2,2014M04,2014M05_3moAve,2014M05_3moAve,65,10.516,2013M07_3moAve,55
LAUCN060350000000003,CN0603500000000,8.844,6.9,2013M09,2014M07_3moAve,2014M07_3moAve,67,9.844,2013M09_3moAve,57
LAUCN060370000000003,CN0603700000000,6.3,7.5,#N/A,#N/A,0,-24108,7.3,2015M05_3moAve,77
LAUCN060390000000003,CN0603900000000,8.46,9.9,#N/A,#N/A,0,-24108,9.46,2014M10_3moAve,70
LAUCN060410000000003,CN0604100000000,4.164,3.7,2014M04,2014M06_3moAve,2014M06_3moAve,66,5.164,2013M05_3moAve,53
LAUCN060430000000003,CN0604300000000,6.808,5.7,2014M09,2015M06_3moAve,2015M06_3moAve,78,7.808,2014M07_3moAve,67
LAUCN060450000000003,CN0604500000000,6.172,5.5,2014M09,2014M10_3moAve,2014M10_3moAve,70,7.172,2014M05_3moAve,65
LAUCN060470000000003,CN0604700000000,11.308,10.8,2014M08,2014M09_3moAve,2014M09_3moAve,69,12.308,2013M10_3moAve,58
LAUCN060490000000003,CN0604900000000,8.896,8.1,2014M09,2014M09_3moAve,2014M09_3moAve,69,9.896,2014M06_3moAve,66
LAUCN060510000000003,CN0605100000000,5.388,6.1,#N/A,#N/A,0,-24108,6.388,2015M02_3moAve,74
LAUCN060530000000003,CN0605300000000,7.852,6.4,2013M09,2014M07_3moAve,2014M07_3moAve,67,8.852,2013M07_3moAve,55
LAUCN060550000000003,CN0605500000000,4.556,4.4,2015M04,2015M05_3moAve,2015M05_3moAve,77,5.556,2014M05_3moAve,65
LAUCN060570000000003,CN0605700000000,5.664,5.6,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.664,2014M06_3moAve,66
LAUCN060590000000003,CN0605900000000,4.572,4.7,2015M03,2015M04_3moAve,2015M04_3moAve,76,5.572,2014M05_3moAve,65
LAUCN060610000000003,CN0606100000000,5.592,5.2,2014M12,2015M02_3moAve,2015M02_3moAve,74,6.592,2014M05_3moAve,65
LAUCN060630000000003,CN0606300000000,9.64,8.2,2014M06,2014M08_3moAve,2014M08_3moAve,68,10.64,2014M07_3moAve,67
LAUCN060650000000003,CN0606500000000,7.252,7.3,2014M12,2015M02_3moAve,2015M02_3moAve,74,8.252,2014M05_3moAve,65
LAUCN060670000000003,CN0606700000000,6.3,6.2,2015M03,2015M04_3moAve,2015M04_3moAve,76,7.3,2014M06_3moAve,66
LAUCN060690000000003,CN0606900000000,8.392,7,2014M09,2014M10_3moAve,2014M10_3moAve,70,9.392,2014M06_3moAve,66
LAUCN060710000000003,CN0607100000000,6.772,6.9,2015M02,2015M03_3moAve,2015M03_3moAve,75,7.772,2014M11_3moAve,71
LAUCN060730000000003,CN0607300000000,5.256,5.4,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.256,2014M06_3moAve,66
LAUCN060750000000003,CN0607500000000,4.728,3.8,2013M12,2014M04_3moAve,2014M04_3moAve,64,5.728,2013M04_3moAve,52
