series_id,FIPS,FIPS_code,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN190130000000003,CN1901300000000,19013,3.916,4.3,#N/A,#N/A,0,-24108,4.916,2013M10_3moAve,58
LAUCN190150000000003,CN1901500000000,19015,3.432,2.8,2014M04,2014M09_3moAve,2014M09_3moAve,69,4.432,2011M11_3moAve,35
LAUCN190170000000003,CN1901700000000,19017,3.328,3.2,2012M09,2012M11_3moAve,2012M11_3moAve,47,4.328,2011M06_3moAve,30
LAUCN190190000000003,CN1901900000000,19019,4.148,3.6,2012M10,2013M11_3moAve,2013M11_3moAve,59,5.148,2011M07_3moAve,31
LAUCN190210000000003,CN1902100000000,19021,3.38,4.3,2013M10,2015M05_3moAve,2015M05_3moAve,77,4.38,2010M11_3moAve,23
LAUCN190230000000003,CN1902300000000,19023,4.332,3.7,2011M09,2011M11_3moAve,2011M11_3moAve,35,5.332,2010M10_3moAve,22
LAUCN190250000000003,CN1902500000000,19025,3.384,3.8,#N/A,#N/A,0,-24108,4.384,2015M06_3moAve,78
LAUCN190270000000003,CN1902700000000,19027,2.744,2.5,2015M04,2015M05_3moAve,2015M05_3moAve,77,3.744,2009M11_3moAve,11
LAUCN190290000000003,CN1902900000000,19029,4.376,2.9,2012M08,2012M09_3moAve,2012M09_3moAve,45,5.376,2010M10_3moAve,22
LAUCN190310000000003,CN1903100000000,19031,3.448,3.2,2014M10,2015M06_3moAve,2015M06_3moAve,78,4.448,2012M06_3moAve,42
LAUCN190330000000003,CN1903300000000,19033,4.336,3.7,2014M10,2015M05_3moAve,2015M05_3moAve,77,5.336,2012M07_3moAve,43
LAUCN190350000000003,CN1903500000000,19035,3.584,4.5,#N/A,#N/A,0,-24108,4.584,2009M06_3moAve,6
LAUCN190370000000003,CN1903700000000,19037,4.544,4,2012M09,2012M10_3moAve,2012M10_3moAve,46,5.544,2011M09_3moAve,33
LAUCN190390000000003,CN1903900000000,19039,4.388,3.6,2014M05,2014M06_3moAve,2014M06_3moAve,66,5.388,2013M09_3moAve,57
LAUCN190410000000003,CN1904100000000,19041,3.276,3.5,2015M05,#N/A,0,-24108,4.276,2013M09_3moAve,57
LAUCN190430000000003,CN1904300000000,19043,5.168,3.4,2011M07,2011M09_3moAve,2011M09_3moAve,33,6.168,2010M09_3moAve,21
LAUCN190450000000003,CN1904500000000,19045,3.98,4.8,#N/A,#N/A,0,-24108,4.98,2015M05_3moAve,77
LAUCN190470000000003,CN1904700000000,19047,3.316,3.2,2015M05,#N/A,0,-24108,4.316,2009M10_3moAve,10
LAUCN190490000000003,CN1904900000000,19049,3.06,2.7,2014M11,2015M05_3moAve,2015M05_3moAve,77,4.06,2011M11_3moAve,35
LAUCN190510000000003,CN1905100000000,19051,4.78,3.6,2014M04,2014M12_3moAve,2014M12_3moAve,72,5.78,2011M05_3moAve,29
LAUCN190530000000003,CN1905300000000,19053,3.964,3.1,2012M09,2012M11_3moAve,2012M11_3moAve,47,4.964,2011M05_3moAve,29
LAUCN190550000000003,CN1905500000000,19055,3.756,3,2012M09,2012M11_3moAve,2012M11_3moAve,47,4.756,2011M10_3moAve,34
LAUCN190570000000003,CN1905700000000,19057,5.116,4.4,2014M04,2014M06_3moAve,2014M06_3moAve,66,6.116,2012M05_3moAve,41
LAUCN190590000000003,CN1905900000000,19059,4.208,3.1,2013M08,2013M09_3moAve,2013M09_3moAve,57,5.208,2011M08_3moAve,32
LAUCN190610000000003,CN1906100000000,19061,4.188,3.3,2011M10,2012M09_3moAve,2012M09_3moAve,45,5.188,2010M11_3moAve,23
LAUCN190630000000003,CN1906300000000,19063,3.836,3.2,2013M08,2013M09_3moAve,2013M09_3moAve,57,4.836,2012M05_3moAve,41
LAUCN190650000000003,CN1906500000000,19065,4.856,4.1,2012M09,2012M10_3moAve,2012M10_3moAve,46,5.856,2011M07_3moAve,31
LAUCN190670000000003,CN1906700000000,19067,5.152,3.3,2013M05,2013M08_3moAve,2013M08_3moAve,56,6.152,2010M10_3moAve,22
LAUCN190690000000003,CN1906900000000,19069,3.972,2.8,2012M05,2012M10_3moAve,2012M10_3moAve,46,4.972,2011M06_3moAve,30
LAUCN190710000000003,CN1907100000000,19071,4.268,2.9,2012M12,2013M06_3moAve,2013M06_3moAve,54,5.268,2011M04_3moAve,28
LAUCN190730000000003,CN1907300000000,19073,3.732,3.5,2014M04,2014M11_3moAve,2014M11_3moAve,71,4.732,2012M10_3moAve,46
LAUCN190750000000003,CN1907500000000,19075,3.376,3.3,2015M07,#N/A,0,-24108,4.376,2012M06_3moAve,42
LAUCN190770000000003,CN1907700000000,19077,4.088,3.1,2013M11,2014M09_3moAve,2014M09_3moAve,69,5.088,2012M09_3moAve,45
LAUCN190790000000003,CN1907900000000,19079,3.52,3.9,#N/A,#N/A,0,-24108,4.52,2014M09_3moAve,69
LAUCN190810000000003,CN1908100000000,19081,5.052,2.5,2011M10,2011M11_3moAve,2011M11_3moAve,35,6.052,2010M09_3moAve,21
LAUCN190830000000003,CN1908300000000,19083,4.032,3.4,2014M05,2014M10_3moAve,2014M10_3moAve,70,5.032,2012M05_3moAve,41
LAUCN190850000000003,CN1908500000000,19085,4.196,3,2009M07,2009M08_3moAve,2009M08_3moAve,8,5.196,2009M05_3moAve,5
LAUCN190870000000003,CN1908700000000,19087,5.024,3.9,2013M09,2013M09_3moAve,2013M09_3moAve,57,6.024,2012M07_3moAve,43
LAUCN190890000000003,CN1908900000000,19089,4.156,2.8,2012M07,2012M08_3moAve,2012M08_3moAve,44,5.156,2010M10_3moAve,22
LAUCN190910000000003,CN1909100000000,19091,3.372,3,2013M10,2015M06_3moAve,2015M06_3moAve,78,4.372,2011M11_3moAve,35
LAUCN190930000000003,CN1909300000000,19093,3.612,2.8,2012M05,2012M10_3moAve,2012M10_3moAve,46,4.612,2010M07_3moAve,19
LAUCN190950000000003,CN1909500000000,19095,3.952,2.9,2012M07,2012M11_3moAve,2012M11_3moAve,47,4.952,2010M09_3moAve,21
LAUCN190970000000003,CN1909700000000,19097,4.928,3.5,2012M07,2012M09_3moAve,2012M09_3moAve,45,5.928,2011M09_3moAve,33
LAUCN190990000000003,CN1909900000000,19099,6.976,3.4,2010M05,2010M09_3moAve,2010M09_3moAve,21,7.976,2009M10_3moAve,10
LAUCN191010000000003,CN1910100000000,19101,4.288,3.4,2014M04,2014M12_3moAve,2014M12_3moAve,72,5.288,2012M05_3moAve,41
LAUCN191030000000003,CN1910300000000,19103,2.864,2.8,2014M10,2014M12_3moAve,2014M12_3moAve,72,3.864,2010M11_3moAve,23
LAUCN191050000000003,CN1910500000000,19105,4.308,3.3,2013M10,2014M10_3moAve,2014M10_3moAve,70,5.308,2010M11_3moAve,23
LAUCN191070000000003,CN1910700000000,19107,4.364,3.5,2013M10,2014M06_3moAve,2014M06_3moAve,66,5.364,2010M11_3moAve,23
LAUCN191090000000003,CN1910900000000,19109,3.78,2.5,2011M10,2011M11_3moAve,2011M11_3moAve,35,4.78,2010M09_3moAve,21
LAUCN191110000000003,CN1911100000000,19111,6.124,5.9,2014M04,2014M10_3moAve,2014M10_3moAve,70,7.124,2012M05_3moAve,41
LAUCN191130000000003,CN1911300000000,19113,3.86,3.6,2015M04,2015M05_3moAve,2015M05_3moAve,77,4.86,2013M08_3moAve,56
LAUCN191150000000003,CN1911500000000,19115,4.228,3.6,2014M09,2014M10_3moAve,2014M10_3moAve,70,5.228,2012M06_3moAve,42
LAUCN191170000000003,CN1911700000000,19117,3.972,3.4,2014M04,2014M06_3moAve,2014M06_3moAve,66,4.972,2011M10_3moAve,34
LAUCN191190000000003,CN1911900000000,19119,2.52,1.8,2011M10,2013M10_3moAve,2013M10_3moAve,58,3.52,2010M09_3moAve,21
LAUCN191210000000003,CN1912100000000,19121,4.476,3.4,2013M07,2013M09_3moAve,2013M09_3moAve,57,5.476,2011M08_3moAve,32
LAUCN191230000000003,CN1912300000000,19123,4.072,3.8,2014M10,2014M11_3moAve,2014M11_3moAve,71,5.072,2012M06_3moAve,42
LAUCN191250000000003,CN1912500000000,19125,3.796,3,2014M04,2014M06_3moAve,2014M06_3moAve,66,4.796,2011M11_3moAve,35
LAUCN191270000000003,CN1912700000000,19127,4.576,4.1,2015M05,2015M06_3moAve,2015M06_3moAve,78,5.576,2013M07_3moAve,55
LAUCN191290000000003,CN1912900000000,19129,3.696,4.1,2015M04,#N/A,0,-24108,4.696,2009M05_3moAve,5
LAUCN191310000000003,CN1913100000000,19131,3.688,2.5,2013M10,2013M11_3moAve,2013M11_3moAve,59,4.688,2010M09_3moAve,21
LAUCN191330000000003,CN1913300000000,19133,5.448,3.6,2013M06,2013M07_3moAve,2013M07_3moAve,55,6.448,2010M10_3moAve,22
LAUCN191350000000003,CN1913500000000,19135,4.296,3.9,2015M04,2015M05_3moAve,2015M05_3moAve,77,5.296,2012M07_3moAve,43
