series_id,FIPS,FIPS_code,bFIPS_code,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN011030000000003,CN0110300000000,01103,b01103,4.336,6.4,#N/A,#N/A,0,-24108,5.336,,-24108
LAUCN011090000000003,CN0110900000000,01109,b01109,4.436,7.3,#N/A,#N/A,0,-24108,5.436,,-24108
LAUCN011270000000003,CN0112700000000,01127,b01127,4.988,7.4,#N/A,#N/A,0,-24108,5.988,,-24108
LAUCN011310000000003,CN0113100000000,01131,b01131,11.712,16.2,#N/A,#N/A,0,-24108,12.712,,-24108
LAUCN040010000000003,CN0400100000000,04001,b04001,10.116,14.8,#N/A,#N/A,0,-24108,11.116,,-24108
LAUCN040030000000003,CN0400300000000,04003,b04003,4.928,7.9,#N/A,#N/A,0,-24108,5.928,,-24108
LAUCN040050000000003,CN0400500000000,04005,b04005,4.62,7.2,#N/A,#N/A,0,-24108,5.62,,-24108
LAUCN040070000000003,CN0400700000000,04007,b04007,5.336,8.5,#N/A,#N/A,0,-24108,6.336,,-24108
LAUCN040150000000003,CN0401500000000,04015,b04015,6.112,8.7,#N/A,#N/A,0,-24108,7.112,,-24108
LAUCN040270000000003,CN0402700000000,04027,b04027,16.02,26.6,2009M02,#N/A,0,-24108,17.02,,-24108
LAUCN050170000000003,CN0501700000000,05017,b05017,8.28,10.1,#N/A,#N/A,0,-24108,9.28,,-24108
LAUCN050810000000003,CN0508100000000,05081,b05081,4.052,6.3,#N/A,#N/A,0,-24108,5.052,,-24108
LAUCN050910000000003,CN0509100000000,05091,b05091,4.264,5.8,#N/A,#N/A,0,-24108,5.264,,-24108
LAUCN051050000000003,CN0510500000000,05105,b05105,5.2,6.7,#N/A,#N/A,0,-24108,6.2,,-24108
LAUCN051330000000003,CN0513300000000,05133,b05133,4.1,6.6,#N/A,#N/A,0,-24108,5.1,,-24108
LAUCN061070000000003,CN0610700000000,06107,b06107,10.012,11.7,#N/A,#N/A,0,-24108,11.012,,-24108
LAUCN080290000000003,CN0802900000000,08029,b08029,3.812,5.7,#N/A,#N/A,0,-24108,4.812,,-24108
LAUCN080430000000003,CN0804300000000,08043,b08043,5.504,6.5,#N/A,#N/A,0,-24108,6.504,,-24108
LAUCN080450000000003,CN0804500000000,08045,b08045,2.768,3.9,#N/A,#N/A,0,-24108,3.768,,-24108
LAUCN080550000000003,CN0805500000000,08055,b08055,5.552,8.2,#N/A,#N/A,0,-24108,6.552,,-24108
LAUCN080710000000003,CN0807100000000,08071,b08071,4.044,6.5,#N/A,#N/A,0,-24108,5.044,,-24108
LAUCN080770000000003,CN0807700000000,08077,b08077,3.512,5.9,#N/A,#N/A,0,-24108,4.512,,-24108
LAUCN081030000000003,CN0810300000000,08103,b08103,2.344,5.2,#N/A,#N/A,0,-24108,3.344,,-24108
LAUCN120130000000003,CN1201300000000,12013,b12013,4.564,6.5,#N/A,#N/A,0,-24108,5.564,,-24108
LAUCN120390000000003,CN1203900000000,12039,b12039,5.296,7.2,#N/A,#N/A,0,-24108,6.296,,-24108
LAUCN120590000000003,CN1205900000000,12059,b12059,4.352,6.8,#N/A,#N/A,0,-24108,5.352,,-24108
LAUCN120630000000003,CN1206300000000,12063,b12063,4.636,6.1,#N/A,#N/A,0,-24108,5.636,,-24108
LAUCN120650000000003,CN1206500000000,12065,b12065,4.232,6.2,#N/A,#N/A,0,-24108,5.232,,-24108
LAUCN120730000000003,CN1207300000000,12073,b12073,3.86,5.3,#N/A,#N/A,0,-24108,4.86,,-24108
LAUCN120770000000003,CN1207700000000,12077,b12077,3.548,5.9,#N/A,#N/A,0,-24108,4.548,,-24108
LAUCN120860000000003,CN1208600000000,12086,b12086,3.916,6.1,#N/A,#N/A,0,-24108,4.916,,-24108
LAUCN121070000000003,CN1210700000000,12107,b12107,6.132,8,#N/A,#N/A,0,-24108,7.132,,-24108
LAUCN121190000000003,CN1211900000000,12119,b12119,4.612,7.4,#N/A,#N/A,0,-24108,5.612,,-24108
LAUCN121230000000003,CN1212300000000,12123,b12123,5.48,7,#N/A,#N/A,0,-24108,6.48,,-24108
LAUCN121250000000003,CN1212500000000,12125,b12125,4.02,5.5,#N/A,#N/A,0,-24108,5.02,,-24108
LAUCN130010000000003,CN1300100000000,13001,b13001,6.092,8.3,#N/A,#N/A,0,-24108,7.092,,-24108
LAUCN130070000000003,CN1300700000000,13007,b13007,5.652,8.6,#N/A,#N/A,0,-24108,6.652,,-24108
LAUCN130110000000003,CN1301100000000,13011,b13011,3.736,6.2,#N/A,#N/A,0,-24108,4.736,,-24108
LAUCN130190000000003,CN1301900000000,13019,b13019,5.624,7.6,#N/A,#N/A,0,-24108,6.624,,-24108
LAUCN130230000000003,CN1302300000000,13023,b13023,6.184,9.9,#N/A,#N/A,0,-24108,7.184,,-24108
LAUCN130250000000003,CN1302500000000,13025,b13025,5.408,8.1,#N/A,#N/A,0,-24108,6.408,,-24108
LAUCN130270000000003,CN1302700000000,13027,b13027,4.964,7,#N/A,#N/A,0,-24108,5.964,,-24108
LAUCN130290000000003,CN1302900000000,13029,b13029,4.156,5.9,#N/A,#N/A,0,-24108,5.156,,-24108
LAUCN130450000000003,CN1304500000000,13045,b13045,5.716,7.3,#N/A,#N/A,0,-24108,6.716,,-24108
LAUCN130510000000003,CN1305100000000,13051,b13051,4.768,6.2,#N/A,#N/A,0,-24108,5.768,,-24108
LAUCN130590000000003,CN1305900000000,13059,b13059,4.456,6.9,#N/A,#N/A,0,-24108,5.456,,-24108
LAUCN130610000000003,CN1306100000000,13061,b13061,6.368,12.4,#N/A,#N/A,0,-24108,7.368,,-24108
LAUCN130630000000003,CN1306300000000,13063,b13063,6.624,7.9,#N/A,#N/A,0,-24108,7.624,,-24108
LAUCN130710000000003,CN1307100000000,13071,b13071,5.2,7.2,#N/A,#N/A,0,-24108,6.2,,-24108
LAUCN130910000000003,CN1309100000000,13091,b13091,5.82,9,#N/A,#N/A,0,-24108,6.82,,-24108
LAUCN130930000000003,CN1309300000000,13093,b13093,5.964,8.3,#N/A,#N/A,0,-24108,6.964,,-24108
LAUCN130950000000003,CN1309500000000,13095,b13095,6.24,8.7,#N/A,#N/A,0,-24108,7.24,,-24108
LAUCN130990000000003,CN1309900000000,13099,b13099,6.1,7.9,#N/A,#N/A,0,-24108,7.1,,-24108
LAUCN131010000000003,CN1310100000000,13101,b13101,3.644,5.8,#N/A,#N/A,0,-24108,4.644,,-24108
LAUCN131030000000003,CN1310300000000,13103,b13103,4.036,5.7,#N/A,#N/A,0,-24108,5.036,,-24108
LAUCN131070000000003,CN1310700000000,13107,b13107,6.216,9.3,#N/A,#N/A,0,-24108,7.216,,-24108
LAUCN131110000000003,CN1311100000000,13111,b13111,4.944,6.6,#N/A,#N/A,0,-24108,5.944,,-24108
LAUCN131150000000003,CN1311500000000,13115,b13115,5.544,7.6,#N/A,#N/A,0,-24108,6.544,,-24108
LAUCN131230000000003,CN1312300000000,13123,b13123,4.668,6.4,#N/A,#N/A,0,-24108,5.668,,-24108
LAUCN131270000000003,CN1312700000000,13127,b13127,4.292,6.5,#N/A,#N/A,0,-24108,5.292,,-24108
LAUCN131310000000003,CN1313100000000,13131,b13131,4.968,7,#N/A,#N/A,0,-24108,5.968,,-24108
LAUCN131330000000003,CN1313300000000,13133,b13133,6.032,7.4,#N/A,#N/A,0,-24108,7.032,,-24108
LAUCN131450000000003,CN1314500000000,13145,b13145,4.1,5.9,#N/A,#N/A,0,-24108,5.1,,-24108
LAUCN131530000000003,CN1315300000000,13153,b13153,4.52,6.6,#N/A,#N/A,0,-24108,5.52,,-24108
LAUCN131710000000003,CN1317100000000,13171,b13171,6.14,8.3,#N/A,#N/A,0,-24108,7.14,,-24108
LAUCN131730000000003,CN1317300000000,13173,b13173,4.712,7.4,#N/A,#N/A,0,-24108,5.712,,-24108
LAUCN131750000000003,CN1317500000000,13175,b13175,6.028,8.4,#N/A,#N/A,0,-24108,7.028,,-24108
LAUCN131770000000003,CN1317700000000,13177,b13177,4.052,6.1,#N/A,#N/A,0,-24108,5.052,,-24108
LAUCN131830000000003,CN1318300000000,13183,b13183,4.036,6.6,#N/A,#N/A,0,-24108,5.036,,-24108
LAUCN131850000000003,CN1318500000000,13185,b13185,4.616,6.9,#N/A,#N/A,0,-24108,5.616,,-24108
LAUCN131890000000003,CN1318900000000,13189,b13189,7.036,9.1,#N/A,#N/A,0,-24108,8.036,,-24108
LAUCN131910000000003,CN1319100000000,13191,b13191,4.968,7.3,#N/A,#N/A,0,-24108,5.968,,-24108
LAUCN131930000000003,CN1319300000000,13193,b13193,7.812,9.5,#N/A,#N/A,0,-24108,8.812,,-24108
LAUCN131950000000003,CN1319500000000,13195,b13195,4.42,6,#N/A,#N/A,0,-24108,5.42,,-24108
LAUCN131970000000003,CN1319700000000,13197,b13197,5.408,9.7,#N/A,#N/A,0,-24108,6.408,,-24108
LAUCN132090000000003,CN1320900000000,13209,b13209,5.904,9.4,#N/A,#N/A,0,-24108,6.904,,-24108
LAUCN132130000000003,CN1321300000000,13213,b13213,5.928,8.1,#N/A,#N/A,0,-24108,6.928,,-24108
LAUCN132150000000003,CN1321500000000,13215,b13215,5.672,7.9,#N/A,#N/A,0,-24108,6.672,,-24108
LAUCN132250000000003,CN1322500000000,13225,b13225,6.216,8.6,#N/A,#N/A,0,-24108,7.216,,-24108
LAUCN132290000000003,CN1322900000000,13229,b13229,4.624,7,#N/A,#N/A,0,-24108,5.624,,-24108
LAUCN132330000000003,CN1323300000000,13233,b13233,5.344,7.2,#N/A,#N/A,0,-24108,6.344,,-24108
LAUCN132350000000003,CN1323500000000,13235,b13235,4.616,7.6,#N/A,#N/A,0,-24108,5.616,,-24108
LAUCN132370000000003,CN1323700000000,13237,b13237,5.648,8.8,#N/A,#N/A,0,-24108,6.648,,-24108
LAUCN132510000000003,CN1325100000000,13251,b13251,6.276,9.5,#N/A,#N/A,0,-24108,7.276,,-24108
LAUCN132530000000003,CN1325300000000,13253,b13253,6.352,8.7,#N/A,#N/A,0,-24108,7.352,,-24108
LAUCN132570000000003,CN1325700000000,13257,b13257,5.492,7,#N/A,#N/A,0,-24108,6.492,,-24108
LAUCN132690000000003,CN1326900000000,13269,b13269,6.628,9.7,#N/A,#N/A,0,-24108,7.628,,-24108
LAUCN132730000000003,CN1327300000000,13273,b13273,6.256,8.4,#N/A,#N/A,0,-24108,7.256,,-24108
LAUCN132750000000003,CN1327500000000,13275,b13275,4.908,8.3,#N/A,#N/A,0,-24108,5.908,,-24108
LAUCN132790000000003,CN1327900000000,13279,b13279,5.896,9.2,#N/A,#N/A,0,-24108,6.896,,-24108
LAUCN132810000000003,CN1328100000000,13281,b13281,4.772,8.1,#N/A,#N/A,0,-24108,5.772,,-24108
LAUCN132830000000003,CN1328300000000,13283,b13283,7.092,9.3,#N/A,#N/A,0,-24108,8.092,,-24108
LAUCN132890000000003,CN1328900000000,13289,b13289,6.244,10,#N/A,#N/A,0,-24108,7.244,,-24108
LAUCN133070000000003,CN1330700000000,13307,b13307,4.816,10.9,#N/A,#N/A,0,-24108,5.816,,-24108
LAUCN133090000000003,CN1330900000000,13309,b13309,6.06,11.8,#N/A,#N/A,0,-24108,7.06,,-24108
LAUCN133190000000003,CN1331900000000,13319,b13319,6.108,8.2,#N/A,#N/A,0,-24108,7.108,,-24108
LAUCN180890000000003,CN1808900000000,18089,b18089,5.672,6.7,#N/A,#N/A,0,-24108,6.672,,-24108
LAUCN200610000000003,CN2006100000000,20061,b20061,4.544,7.6,#N/A,#N/A,0,-24108,5.544,,-24108
LAUCN201330000000003,CN2013300000000,20133,b20133,4.496,8.9,#N/A,#N/A,0,-24108,5.496,,-24108
LAUCN202050000000003,CN2020500000000,20205,b20205,4.612,7.7,#N/A,#N/A,0,-24108,5.612,,-24108
LAUCN210250000000003,CN2102500000000,21025,b21025,7.124,9.4,#N/A,#N/A,0,-24108,8.124,,-24108
LAUCN210530000000003,CN2105300000000,21053,b21053,5.82,9.8,#N/A,#N/A,0,-24108,6.82,,-24108
LAUCN210710000000003,CN2107100000000,21071,b21071,6.58,9.1,#N/A,#N/A,0,-24108,7.58,,-24108
LAUCN210890000000003,CN2108900000000,21089,b21089,5.812,7.8,#N/A,#N/A,0,-24108,6.812,,-24108
LAUCN210950000000003,CN2109500000000,21095,b21095,8.912,12,#N/A,2009M01_3moAve,2009M01_3moAve,1,9.912,,-24108
LAUCN211190000000003,CN2111900000000,21119,b21119,6.808,10.1,#N/A,2009M01_3moAve,2009M01_3moAve,1,7.808,,-24108
LAUCN211310000000003,CN2113100000000,21131,b21131,8.48,11.1,#N/A,#N/A,0,-24108,9.48,,-24108
LAUCN211330000000003,CN2113300000000,21133,b21133,7.156,10.8,#N/A,#N/A,0,-24108,8.156,,-24108
LAUCN240010000000003,CN2400100000000,24001,b24001,5.36,7,#N/A,#N/A,0,-24108,6.36,,-24108
LAUCN240030000000003,CN2400300000000,24003,b24003,3.348,4.8,#N/A,#N/A,0,-24108,4.348,,-24108
LAUCN240050000000003,CN2400500000000,24005,b24005,3.936,5.8,#N/A,#N/A,0,-24108,4.936,,-24108
LAUCN240090000000003,CN2400900000000,24009,b24009,3.104,5.1,#N/A,#N/A,0,-24108,4.104,,-24108
LAUCN240130000000003,CN2401300000000,24013,b24013,3.272,4.6,#N/A,#N/A,0,-24108,4.272,,-24108
LAUCN240150000000003,CN2401500000000,24015,b24015,4.42,6.3,#N/A,#N/A,0,-24108,5.42,,-24108
LAUCN240170000000003,CN2401700000000,24017,b24017,3.22,5.5,#N/A,#N/A,0,-24108,4.22,,-24108
LAUCN240190000000003,CN2401900000000,24019,b24019,6.22,7,#N/A,#N/A,0,-24108,7.22,,-24108
LAUCN240210000000003,CN2402100000000,24021,b24021,3.22,4.7,#N/A,#N/A,0,-24108,4.22,,-24108
LAUCN240230000000003,CN2402300000000,24023,b24023,4.6,5.9,#N/A,#N/A,0,-24108,5.6,,-24108
LAUCN240250000000003,CN2402500000000,24025,b24025,3.688,5.4,#N/A,#N/A,0,-24108,4.688,,-24108
LAUCN240270000000003,CN2402700000000,24027,b24027,2.784,4.3,#N/A,#N/A,0,-24108,3.784,,-24108
LAUCN240290000000003,CN2402900000000,24029,b24029,4.1,5.5,#N/A,#N/A,0,-24108,5.1,,-24108
LAUCN240310000000003,CN2403100000000,24031,b24031,2.88,4.1,#N/A,#N/A,0,-24108,3.88,,-24108
LAUCN240330000000003,CN2403300000000,24033,b24033,3.94,5.5,#N/A,#N/A,0,-24108,4.94,,-24108
LAUCN240350000000003,CN2403500000000,24035,b24035,3.528,4.7,#N/A,#N/A,0,-24108,4.528,,-24108
LAUCN240370000000003,CN2403700000000,24037,b24037,3.252,5.6,#N/A,#N/A,0,-24108,4.252,,-24108
LAUCN240390000000003,CN2403900000000,24039,b24039,5.812,7.9,#N/A,#N/A,0,-24108,6.812,,-24108
LAUCN240410000000003,CN2404100000000,24041,b24041,3.748,4.7,#N/A,#N/A,0,-24108,4.748,,-24108
LAUCN240450000000003,CN2404500000000,24045,b24045,4.496,6.3,#N/A,#N/A,0,-24108,5.496,,-24108
LAUCN245100000000003,CN2451000000000,24510,b24510,5.984,8.2,#N/A,#N/A,0,-24108,6.984,,-24108
LAUCN280150000000003,CN2801500000000,28015,b28015,6.656,8.2,#N/A,#N/A,0,-24108,7.656,,-24108
LAUCN280210000000003,CN2802100000000,28021,b28021,10.848,14.4,#N/A,#N/A,0,-24108,11.848,,-24108
LAUCN280270000000003,CN2802700000000,28027,b28027,8.944,11.6,#N/A,#N/A,0,-24108,9.944,,-24108
LAUCN280530000000003,CN2805300000000,28053,b28053,9.216,14.5,#N/A,#N/A,0,-24108,10.216,,-24108
LAUCN280550000000003,CN2805500000000,28055,b28055,8.084,17.1,#N/A,#N/A,0,-24108,9.084,,-24108
LAUCN280590000000003,CN2805900000000,28059,b28059,5.572,7.5,#N/A,#N/A,0,-24108,6.572,,-24108
LAUCN280650000000003,CN2806500000000,28065,b28065,6.948,10.5,#N/A,#N/A,0,-24108,7.948,,-24108
LAUCN280690000000003,CN2806900000000,28069,b28069,7.924,11.9,#N/A,#N/A,0,-24108,8.924,,-24108
LAUCN280830000000003,CN2808300000000,28083,b28083,8.336,12.2,#N/A,#N/A,0,-24108,9.336,,-24108
LAUCN281070000000003,CN2810700000000,28107,b28107,8.1,9.8,#N/A,#N/A,0,-24108,9.1,,-24108
LAUCN281190000000003,CN2811900000000,28119,b28119,8.464,12.3,#N/A,#N/A,0,-24108,9.464,,-24108
LAUCN281310000000003,CN2813100000000,28131,b28131,5.68,7.9,#N/A,#N/A,0,-24108,6.68,,-24108
LAUCN281330000000003,CN2813300000000,28133,b28133,9.848,11.9,#N/A,#N/A,0,-24108,10.848,,-24108
LAUCN281430000000003,CN2814300000000,28143,b28143,9.088,10.7,#N/A,#N/A,0,-24108,10.088,,-24108
LAUCN281510000000003,CN2815100000000,28151,b28151,8.86,11.5,#N/A,#N/A,0,-24108,9.86,,-24108
LAUCN281570000000003,CN2815700000000,28157,b28157,8.164,12.6,#N/A,#N/A,0,-24108,9.164,,-24108
LAUCN281590000000003,CN2815900000000,28159,b28159,6.984,9.6,#N/A,#N/A,0,-24108,7.984,,-24108
LAUCN290930000000003,CN2909300000000,29093,b29093,5.5,8.9,#N/A,#N/A,0,-24108,6.5,,-24108
LAUCN291530000000003,CN2915300000000,29153,b29153,5.652,9.1,#N/A,#N/A,0,-24108,6.652,,-24108
LAUCN320010000000003,CN3200100000000,32001,b32001,5.108,7.1,#N/A,#N/A,0,-24108,6.108,,-24108
LAUCN320030000000003,CN3200300000000,32003,b32003,5.524,7,#N/A,#N/A,0,-24108,6.524,,-24108
LAUCN320150000000003,CN3201500000000,32015,b32015,3.78,6.7,#N/A,#N/A,0,-24108,4.78,,-24108
LAUCN320170000000003,CN3201700000000,32017,b32017,4.844,7.1,#N/A,#N/A,0,-24108,5.844,,-24108
LAUCN320190000000003,CN3201900000000,32019,b32019,8.024,9,#N/A,#N/A,0,-24108,9.024,,-24108
LAUCN320210000000003,CN3202100000000,32021,b32021,6.828,10.5,#N/A,#N/A,0,-24108,7.828,,-24108
LAUCN320290000000003,CN3202900000000,32029,b32029,5.88,7.1,#N/A,#N/A,0,-24108,6.88,,-24108
LAUCN320330000000003,CN3203300000000,32033,b32033,4.144,5.7,#N/A,#N/A,0,-24108,5.144,,-24108
LAUCN325100000000003,CN3251000000000,32510,b32510,5.904,7.2,#N/A,#N/A,0,-24108,6.904,,-24108
LAUCN340010000000003,CN3400100000000,34001,b34001,6.332,9.1,#N/A,#N/A,0,-24108,7.332,,-24108
LAUCN340050000000003,CN3400500000000,34005,b34005,4.352,5.9,#N/A,#N/A,0,-24108,5.352,,-24108
LAUCN340070000000003,CN3400700000000,34007,b34007,5.34,7,#N/A,#N/A,0,-24108,6.34,,-24108
LAUCN340110000000003,CN3401100000000,34011,b34011,7.176,9.3,#N/A,#N/A,0,-24108,8.176,,-24108
LAUCN340130000000003,CN3401300000000,34013,b34013,5.868,7.5,#N/A,#N/A,0,-24108,6.868,,-24108
LAUCN340150000000003,CN3401500000000,34015,b34015,4.792,6.6,#N/A,#N/A,0,-24108,5.792,,-24108
LAUCN340250000000003,CN3402500000000,34025,b34025,4.224,5.6,#N/A,#N/A,0,-24108,5.224,,-24108
LAUCN340290000000003,CN3402900000000,34029,b34029,5.168,6.4,#N/A,#N/A,0,-24108,6.168,,-24108
LAUCN340310000000003,CN3403100000000,34031,b34031,5.96,7.7,#N/A,#N/A,0,-24108,6.96,,-24108
LAUCN340330000000003,CN3403300000000,34033,b34033,5.512,7.7,#N/A,#N/A,0,-24108,6.512,,-24108
LAUCN340350000000003,CN3403500000000,34035,b34035,3.524,5,#N/A,#N/A,0,-24108,4.524,,-24108
LAUCN340390000000003,CN3403900000000,34039,b34039,5.028,6.5,#N/A,#N/A,0,-24108,6.028,,-24108
LAUCN340410000000003,CN3404100000000,34041,b34041,4.336,5.7,#N/A,#N/A,0,-24108,5.336,,-24108
LAUCN350010000000003,CN3500100000000,35001,b35001,3.948,6.4,#N/A,#N/A,0,-24108,4.948,,-24108
LAUCN350030000000003,CN3500300000000,35003,b35003,5.112,6.5,#N/A,#N/A,0,-24108,6.112,,-24108
LAUCN350050000000003,CN3500500000000,35005,b35005,4.116,7.2,#N/A,#N/A,0,-24108,5.116,,-24108
LAUCN350060000000003,CN3500600000000,35006,b35006,4.412,8.8,#N/A,#N/A,0,-24108,5.412,,-24108
LAUCN350070000000003,CN3500700000000,35007,b35007,3.952,5.7,#N/A,#N/A,0,-24108,4.952,,-24108
LAUCN350090000000003,CN3500900000000,35009,b35009,2.988,5.3,#N/A,#N/A,0,-24108,3.988,,-24108
LAUCN350130000000003,CN3501300000000,35013,b35013,4.452,8,#N/A,#N/A,0,-24108,5.452,,-24108
LAUCN350170000000003,CN3501700000000,35017,b35017,4.368,7.1,#N/A,#N/A,0,-24108,5.368,,-24108
LAUCN350230000000003,CN3502300000000,35023,b35023,3.644,6.6,#N/A,#N/A,0,-24108,4.644,,-24108
LAUCN350250000000003,CN3502500000000,35025,b35025,2.652,6.3,#N/A,#N/A,0,-24108,3.652,,-24108
LAUCN350270000000003,CN3502700000000,35027,b35027,3.304,5.8,#N/A,#N/A,0,-24108,4.304,,-24108
LAUCN350290000000003,CN3502900000000,35029,b35029,11.2,15.1,#N/A,#N/A,0,-24108,12.2,,-24108
LAUCN350310000000003,CN3503100000000,35031,b35031,5.064,11.3,#N/A,#N/A,0,-24108,6.064,,-24108
LAUCN350330000000003,CN3503300000000,35033,b35033,8.236,9.8,#N/A,#N/A,0,-24108,9.236,,-24108
LAUCN350350000000003,CN3503500000000,35035,b35035,4.088,6.9,#N/A,#N/A,0,-24108,5.088,,-24108
LAUCN350370000000003,CN3503700000000,35037,b35037,4.712,7.4,#N/A,#N/A,0,-24108,5.712,,-24108
LAUCN350390000000003,CN3503900000000,35039,b35039,5.096,8.4,#N/A,#N/A,0,-24108,6.096,,-24108
LAUCN350410000000003,CN3504100000000,35041,b35041,2.972,6.6,#N/A,#N/A,0,-24108,3.972,,-24108
LAUCN350430000000003,CN3504300000000,35043,b35043,4.728,7.4,#N/A,#N/A,0,-24108,5.728,,-24108
LAUCN350450000000003,CN3504500000000,35045,b35045,3.64,7.9,#N/A,#N/A,0,-24108,4.64,,-24108
LAUCN350470000000003,CN3504700000000,35047,b35047,4.552,8.3,#N/A,#N/A,0,-24108,5.552,,-24108
LAUCN350490000000003,CN3504900000000,35049,b35049,3.36,5.9,#N/A,#N/A,0,-24108,4.36,,-24108
LAUCN350510000000003,CN3505100000000,35051,b35051,3.788,9,#N/A,#N/A,0,-24108,4.788,,-24108
LAUCN350530000000003,CN3505300000000,35053,b35053,3.372,8.4,#N/A,#N/A,0,-24108,4.372,,-24108
LAUCN350550000000003,CN3505500000000,35055,b35055,5.156,9.6,#N/A,#N/A,0,-24108,6.156,,-24108
LAUCN350570000000003,CN3505700000000,35057,b35057,5.064,9.6,#N/A,#N/A,0,-24108,6.064,,-24108
LAUCN350590000000003,CN3505900000000,35059,b35059,2.8,5.3,#N/A,#N/A,0,-24108,3.8,,-24108
LAUCN350610000000003,CN3506100000000,35061,b35061,4.488,8,#N/A,#N/A,0,-24108,5.488,,-24108
LAUCN360130000000003,CN3601300000000,36013,b36013,4.992,6.2,#N/A,#N/A,0,-24108,5.992,,-24108
LAUCN360850000000003,CN3608500000000,36085,b36085,4.816,5.9,#N/A,#N/A,0,-24108,5.816,,-24108
LAUCN370190000000003,CN3701900000000,37019,b37019,5.4,7.2,#N/A,#N/A,0,-24108,6.4,,-24108
LAUCN370510000000003,CN3705100000000,37051,b37051,5.68,8.2,#N/A,#N/A,0,-24108,6.68,,-24108
LAUCN370530000000003,CN3705300000000,37053,b37053,3.732,5.6,#N/A,#N/A,0,-24108,4.732,,-24108
LAUCN370750000000003,CN3707500000000,37075,b37075,8.836,11.7,#N/A,#N/A,0,-24108,9.836,,-24108
LAUCN370930000000003,CN3709300000000,37093,b37093,5.348,8.7,#N/A,#N/A,0,-24108,6.348,,-24108
LAUCN371390000000003,CN3713900000000,37139,b37139,5.868,8,#N/A,#N/A,0,-24108,6.868,,-24108
LAUCN400230000000003,CN4002300000000,40023,b40023,5.216,8,#N/A,#N/A,0,-24108,6.216,,-24108
LAUCN400610000000003,CN4006100000000,40061,b40061,3.9,8.4,#N/A,#N/A,0,-24108,4.9,,-24108
LAUCN400690000000003,CN4006900000000,40069,b40069,4.3,7.3,#N/A,#N/A,0,-24108,5.3,,-24108
LAUCN400710000000003,CN4007100000000,40071,b40071,3.872,5.7,#N/A,#N/A,0,-24108,4.872,,-24108
LAUCN400770000000003,CN4007700000000,40077,b40077,4.672,9,#N/A,#N/A,0,-24108,5.672,,-24108
LAUCN400910000000003,CN4009100000000,40091,b40091,5.128,9.1,#N/A,#N/A,0,-24108,6.128,,-24108
LAUCN401210000000003,CN4012100000000,40121,b40121,3.552,5.9,#N/A,#N/A,0,-24108,4.552,,-24108
